Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,996.95,999.25,989.15,991.7,992.9201959504,76550,3048,76008041,35089,45.84,10.1,-5.25
09/06/2016,1019,1019,996.75,999.55,1004.9664927699,57122,3362,57405696,19340,33.86,22.25,-19.45
08/06/2016,1031.5,1031.5,1011,1019.3,1017.9468342291,50051,3031,50949257,12059,24.09,20.5,-12.2
07/06/2016,1022.35,1037.3,1022.35,1031.95,1031.7978608399,122104,4449,125986646,62100,50.86,14.95,9.6
06/06/2016,1022,1031.85,1017.5,1025.1,1024.6008804428,45886,2550,47014836,11890,25.91,14.35,3.1
03/06/2016,1020,1031.5,1013,1025.6,1021.2092461972,219182,4459,223830685,145956,66.59,18.5,5.6
02/06/2016,1010,1023.85,1002,1021.35,1016.9886295238,91377,4666,92929370,20155,22.06,21.85,11.35
01/06/2016,990,1022.45,989,1018.95,1013.6057937047,133973,6327,135795809,30396,22.69,33.45,28.95
31/05/2016,985,995.5,981.5,984.1,985.9856570541,85617,1943,84417134,49488,57.8,14,-0.9
30/05/2016,990,1003.85,979,985.05,987.8879665757,90473,3659,89377188,32757,36.21,24.85,-4.95
27/05/2016,990,1001.15,987.3,998.05,996.5552276214,85383,3641,85088875,24350,28.52,13.85,8.05
26/05/2016,985,998.95,973.8,991.5,982.5055292125,118100,3330,116033903,66408,56.23,25.15,6.5
25/05/2016,962,985,962,982.45,974.6828152946,103435,5339,100816317,50531,48.85,23,20.45
24/05/2016,946.7,962,942,956.25,949.7034213831,45391,2196,43107988,15551,34.26,20,9.55
23/05/2016,955,961,943.55,947.15,950.1466448325,54349,1928,51639520,20813,38.3,17.45,-7.85
20/05/2016,957.05,963,950.6,956.15,956.5670869614,70744,2700,67671382,39037,55.18,12.4,-0.9
19/05/2016,965,966,952.35,956.95,957.1642119565,73600,2366,70447286,27811,37.79,13.65,-8.05
18/05/2016,966.15,972,952.8,964,959.490641055,61118,3172,58642149,12997,21.27,19.2,-2.15
17/05/2016,951,974,951,969.9,964.9104093944,105424,3612,101724715,41183,39.06,23,18.9
16/05/2016,945.05,957,944.55,951.6,951.6326708508,68832,3058,65502780,15223,22.12,12.45,6.55
13/05/2016,927,948,927,942.5,938.7413633235,242657,5120,227792163,115569,47.63,21,15.5
12/05/2016,920,931.5,915,926.75,924.7729527761,511986,8243,473470805,345725,67.53,16.5,6.75
11/05/2016,895.9,919.6,886.55,907.4,905.2762870977,205909,7785,186404535,31121,15.11,33.05,11.5
10/05/2016,901.1,908.5,893.75,898.65,901.5202447545,49519,2311,44642381,14871,30.03,14.75,-2.45
09/05/2016,889.4,913.4,889.4,906.15,906.0490214305,118336,6411,107218217,42154,35.62,24,16.75
06/05/2016,864.9,890,861.95,888.4,880.512678493,77454,2911,68199229,28518,36.82,28.05,23.5
05/05/2016,872,874.45,863,868.35,869.337047819,41908,1752,36432177,9924,23.68,11.45,-3.65
04/05/2016,875,879.6,865.55,873.15,873.1943679351,45383,1981,39628180,7468,16.46,14.05,-1.85
03/05/2016,874.9,886,867.6,871.55,876.6951980363,78218,4046,68573345,12043,15.4,18.4,-3.35
02/05/2016,866,867.55,861,862.75,863.3488241225,42649,2263,36820964,16053,37.64,6.55,-3.25
29/04/2016,878.6,878.6,862.65,868.1,868.3007731473,53030,3166,46045990,10586,19.96,15.95,-10.5
28/04/2016,889.5,894,870,874.05,881.1416614932,43491,2368,38321732,8462,19.46,24,-15.45
27/04/2016,876.9,890.75,872.55,889.6,885.1232033962,55591,2562,49204884,20293,36.5,18.2,12.7
26/04/2016,863,879.75,858.1,876.9,873.995046017,45418,2338,39695107,16590,36.53,21.65,13.9
25/04/2016,881,881,857.5,862.75,861.595344379,36515,2836,31461154,9214,25.23,23.5,-18.25
22/04/2016,887.95,892.95,869.6,871.6,876.3460146266,40611,2900,35589288,11763,28.97,23.35,-16.35
21/04/2016,885.55,894.6,882.1,887.95,891.2450638539,45886,2882,40895671,15534,33.85,12.5,2.4
20/04/2016,884.3,887.25,875.3,885.55,882.3313968969,41313,2007,36451757,12325,29.83,11.95,1.25
18/04/2016,878,886.1,874.35,884.05,881.2839106082,53383,3502,47045579,17444,32.68,11.75,6.05
13/04/2016,869,875.6,867.25,873.1,871.5872408984,41586,2298,36245827,13947,33.54,8.35,4.1
12/04/2016,862,869.2,859.6,865.4,864.992242361,42152,1927,36461153,12249,29.06,9.6,3.4
11/04/2016,852,861.9,843.05,859.8,853.3451668585,52140,2663,44493417,8125,15.58,18.85,7.8
08/04/2016,857,861.75,850,852.25,853.6482314746,35114,3735,29975004,9565,27.24,11.75,-4.75
07/04/2016,868.95,869,854.5,856.95,858.7480678066,54213,2575,46555309,27196,50.17,14.5,-12
06/04/2016,872,874.85,861,864.4,866.4523323528,33314,2162,28864993,8755,26.28,13.85,-7.6
05/04/2016,885,885,862.55,869.25,872.8734843967,50310,2791,43914265,12106,24.06,22.45,-15.75
04/04/2016,875,888,865.95,885.6,877.8413378058,50680,2842,44488999,15357,30.3,22.05,10.6
01/04/2016,860,883.7,860,869.95,874.2761172192,47842,2564,41827118,12857,26.87,23.7,9.95
31/03/2016,880,880,865,868.7,871.146117106,39571,2282,34472123,13523,34.17,15,-11.3
30/03/2016,863.9,884,862,881.4,872.9502951506,66915,3347,58413469,23584,35.24,22,17.5
29/03/2016,837,859.2,837,854.05,852.3931506611,57553,3085,49057783,20404,35.45,22.2,17.05
28/03/2016,853.75,857.2,842.2,845.35,848.0718767544,60562,2912,51360929,27073,44.7,15,-8.4
23/03/2016,854,857.55,846.5,850,850.898321005,42585,3244,36235505,14963,35.14,11.05,-4
22/03/2016,860.1,860.8,846.3,854,852.5199001541,86934,4152,74112965,29079,33.45,14.5,-6.1
21/03/2016,875.05,875.05,852.5,859.55,857.5390477097,105115,4976,90140217,34198,32.53,22.55,-15.5
18/03/2016,867.6,878,861.25,874.9,870.8296232333,78749,3005,68576962,34875,44.29,16.75,7.3
17/03/2016,871,875.95,865.2,870.75,870.7392745603,36502,2254,31783725,8860,24.27,10.75,-0.25
16/03/2016,879.9,881.15,863.75,866.85,868.142247603,61639,3933,53511420,15211,24.68,17.4,-13.05
15/03/2016,905,906.75,877.5,886.1,889.4934075497,60903,3568,54172817,9965,16.36,29.25,-18.9
14/03/2016,900,901.95,888.5,897.3,896.3790140672,48766,3106,43712819,12717,26.08,13.45,-2.7
11/03/2016,899.8,903.1,893.75,896.15,898.1447243242,68323,3341,61363942,20461,29.95,9.35,-3.65
10/03/2016,874,894,871,893.15,877.7105282365,726171,4815,637367932,654779,90.17,23,19.15
09/03/2016,870.5,888.75,870.5,877,883.1713669164,101023,3525,89220621,38248,37.86,18.25,6.5
08/03/2016,870,878.95,859.25,872.9,869.6419653577,119103,4856,103576967,47994,40.3,19.7,2.9
04/03/2016,884,890,860.65,867.1,870.6718458857,99822,6059,86912205,20855,20.89,29.35,-16.9
03/03/2016,875,896,872.5,880.1,884.8855490567,90956,4822,80485650,18556,20.4,23.5,5.1
02/03/2016,872.25,881,867,871.8,874.4437298672,88475,5615,77366409,27063,30.59,14,-0.45
01/03/2016,856,874,849.25,872.25,863.8436250555,49522,2816,42779264,14906,30.1,24.75,16.25
29/02/2016,866,868.1,843.95,848.55,854.8800246548,60029,3935,51317593,12067,20.1,24.15,-17.45
26/02/2016,863,873,854.3,860.9,862.0148614837,33173,1796,28595619,3545,10.69,18.7,-2.1
25/02/2016,874,884.25,858.5,862.65,871.0023501384,62124,3459,54110150,13880,22.34,25.75,-11.35
24/02/2016,875,885,874.8,879,879.8983224682,71176,3740,62627643,19112,26.85,10.2,4
23/02/2016,870.85,877.5,865.05,874.5,872.9684079426,98759,4331,86213487,33594,34.02,12.45,3.65
22/02/2016,854.15,872.2,854.15,868.95,866.0783664988,62565,2994,54186193,23305,37.25,18.05,14.8
19/02/2016,835.9,856.95,829.9,854.1,845.1229707536,63324,4738,53516567,19032,30.05,27.05,18.2
18/02/2016,856,862.55,831,835.95,855.7232347943,247719,3899,211978904,195611,78.96,31.55,-20.05
17/02/2016,841,857.4,827.2,853.8,840.1590889159,79817,4907,67058978,22021,27.59,30.2,12.8
16/02/2016,858,862,835.65,841,845.1008004184,68839,4023,58175894,18811,27.33,26.35,-17
15/02/2016,865,872.65,852,857.75,859.3764581666,58721,3064,50463445,17910,30.5,20.65,-7.25
12/02/2016,855,873.25,846.75,856.15,857.0094631841,76190,3180,65295551,16206,21.27,26.5,1.15
11/02/2016,878.5,878.5,851.1,855.3,861.1560714434,72281,4210,62245222,26900,37.22,27.4,-23.2
10/02/2016,880.1,888,867.5,876.95,875.9459621435,40046,1716,35078132,6742,16.84,20.5,-3.15
09/02/2016,885,893.4,879,884.2,885.5857693622,61473,2084,54439614,26147,42.53,14.4,-0.8
08/02/2016,899.25,907.85,885,887.2,895.6634731858,72648,3585,65068160,27558,37.93,22.85,-12.05
05/02/2016,890,903,888,897.15,896.5060083859,88959,4260,79752278,23146,26.02,15,7.15
04/02/2016,884,893.5,866.55,888.7,885.7509611277,110027,4317,97456521,25949,23.58,26.95,4.7
03/02/2016,875,883.35,858.65,863.4,872.4726022235,53070,2345,46302121,15831,29.83,24.7,-11.6
02/02/2016,887.4,894.7,877,880.7,883.9499643027,50424,2616,44572293,9948,19.73,17.7,-6.7
01/02/2016,873.55,890,872.45,887.25,885.192506938,54050,3166,47844655,18180,33.64,17.55,13.7
29/01/2016,861,874.35,861,868.85,868.2746535307,42428,1941,36839157,15621,36.82,13.35,7.85
28/01/2016,857,864.9,852.65,859.65,859.177532687,44972,2008,38638932,11871,26.4,12.25,2.65
27/01/2016,880,881.9,855.5,858.7,862.146241692,142032,3039,122452355,99167,69.82,26.4,-21.3
25/01/2016,872.55,881.95,868.45,877.4,877.3891872654,61816,3423,54236690,21316,34.48,13.5,4.85
22/01/2016,851.05,873.1,849.75,869.5,862.2920102692,102832,4204,88671212,29842,29.02,23.35,18.45
21/01/2016,854,855.9,841.55,843.9,848.6083830983,79708,3216,67640877,13502,16.94,14.35,-10.1
20/01/2016,839,855.8,830,839.35,842.3928521535,164637,6625,138689032,46611,28.31,25.8,0.35
19/01/2016,870.9,871,825,845.2,843.8376449524,239044,9113,201714326,40481,16.93,46,-25.7
