Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,215,325,210,305,0,0,0,,,115,90,@
1992,307.5,515,255,295,0,0,0,,,260,-12.5,@
1993,290,420,245,415,0,0,0,,,175,125,@
1994,415,640,340,530,0,0,0,,,300,115,@
1995,530,690,256,316,502000,1901,241756650,,,434,-214,@
1996,540,540,250,295.5,2391920,9095,897087120,,,290,-244.5,@
1997,380,380,265,301,6363346,23718,1975422325,,,115,-79,@
1998,295,370,198,284.5,7312076,27795,2108051733,,,172,-10.5,@
1999,248,406,248,406,216400,6,77105250,,,158,158,
1999,282,451.25,195,370,6975576,43142,2420608959,,,256.25,88,@
2000,395,395,220,220,23055,9,6472100,,,175,-175,
2000,375,501,205,276.6,5002713,58575,1720325127,,,296,-98.4,@
2001,277.9,287.95,229,250,2530513,31566,662295505,,,58.95,-27.9,@
2001,264,289.95,242.5,271.5,2709320,11696,711355486,,,47.45,7.5,
2002,270,399,250.1,324.65,4167418,37322,1330183915,3396230,81.49,148.9,54.65,
2003,327.75,472.35,257,336.15,6265486,58772,2123271585,5378024,85.84,215.35,8.4,
2004,337,352,245,320.15,7435181,56110,2312319467,6826761,91.82,107,-16.85,
2005,323,583.9,302.6,577.4,12031665,44519,5659967383,11264546,93.62,281.3,254.4,
2006,577.45,790,501.1,733.55,7054068,46235,4564495120,6304515,89.37,288.9,156.1,
2007,739,1125,642,1102.55,5914424,50564,5095820929,5288090,89.41,483,363.55,
2008,1101,1319.95,830,895.1,7759729,43957,8611564292,7369891,94.98,489.95,-205.9,
2009,897,1811,680.9,1796.25,3687048,63423,4303782922,2954467,80.13,1130.1,899.25,
2010,1738,3027,1715.2,2874.85,4627328,164198,11258610808,3255865,70.36,1311.8,1136.85,
2011,2898,3365.95,2395.05,2594.95,2926971,167294,8324489233,1870937,63.92,970.9,-303.05,
2012,2580,4494,2555.9,4420.25,2111862,232663,7696668025,981411,46.47,1938.1,1840.25,
2013,4420,5246.6,376.35,490.75,14309468,628625,14101844793,5602712,39.15,4870.25,-3929.25,
2014,493.75,809.25,461,751.75,28322158,1055680,16566498753,12682452,44.78,348.25,258,
2015,750,924.65,693,883.85,34451180,1333607,28239910798,11489711,33.35,231.65,133.85,
2016,882.95,1037.3,825,991.7,9596580,384362,8626054169,3818904,39.79,212.3,108.75,
@ Shares traded in Physical form,,,,,,,,,,,,
