Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,475.8,486.5,475,476.25,480.4371349844,239887,5689,115250623,86935,36.24,11.5,0.45
09/06/2016,474,482.5,469.5,479.9,477.4409577645,231038,7292,110307004,73990,32.03,13,5.9
08/06/2016,471.9,474.6,468.6,472.75,472.159614565,150168,3661,70903265,49204,32.77,6,0.85
07/06/2016,467.9,472,467.1,468.75,469.4018411905,109603,3621,51447850,32556,29.7,4.9,0.85
06/06/2016,469.5,471.8,465.8,467.65,469.0375515422,176797,4457,82924432,57173,32.34,6,-1.85
03/06/2016,472,473.8,462.5,465.1,469.2358234225,168923,3807,79264723,61129,36.19,11.3,-6.9
02/06/2016,464.5,470.45,459.5,469.25,465.9042112742,204095,4344,95088720,93827,45.97,10.95,4.75
01/06/2016,476.7,476.7,464,465.35,470.64303449,266628,5480,125486611,173590,65.11,12.7,-11.35
31/05/2016,478,478.85,471.05,472.4,474.3556633163,170130,4328,80702129,64487,37.9,7.8,-5.6
30/05/2016,475.05,478.45,470.1,473.65,474.3034880584,192772,4635,91432432,71664,37.18,8.35,-1.4
27/05/2016,471.95,478.35,469.55,473.65,473.8264912846,297864,10263,141135854,116809,39.22,8.8,1.7
26/05/2016,472,473.1,466.1,467.6,469.1720248135,351583,11054,164952908,161364,45.9,7,-4.4
25/05/2016,479,480.1,458.25,470.3,467.561282083,1228532,29303,574413997,244651,19.91,21.85,-8.7
24/05/2016,500.85,504.95,492.35,494.9,499.0554430884,241058,8245,120301307,58199,24.14,12.6,-5.95
23/05/2016,510,510,495.05,497.4,501.3785409728,201463,5811,101009225,59570,29.57,14.95,-12.6
20/05/2016,514.95,515.55,501.7,507.25,507.1940642488,163147,4880,82747190,40756,24.98,13.85,-7.7
19/05/2016,527.5,527.5,510.95,512.6,517.7876404941,100716,3030,52149500,32915,32.68,16.55,-14.9
18/05/2016,524,526.45,520.5,524.3,523.1379274901,68101,1741,35626216,19997,29.36,5.95,0.3
17/05/2016,523.5,528.9,523,524.65,525.455553154,64774,2479,34035858,15919,24.58,5.9,1.15
16/05/2016,533.7,533.7,522,523.45,525.9668037457,80732,3079,42462352,28574,35.39,11.7,-10.25
13/05/2016,534.5,538.55,529.3,531.25,532.7476362952,63777,1699,33977046,26436,41.45,9.25,-3.25
12/05/2016,536,542.65,534.5,534.7,535.9787934436,249404,1797,133675255,16017,6.42,8.15,-1.3
11/05/2016,533.9,539.4,530.8,535.85,535.8610691079,48938,1663,26223969,12507,25.56,8.6,1.95
10/05/2016,536.9,539.7,532.8,536.9,536.3231654623,54387,2191,29169008,10562,19.42,6.9,0
09/05/2016,541.45,541.45,533.4,536.6,536.6551086974,62237,1954,33399804,13830,22.22,8.05,-4.85
06/05/2016,543,543,535.1,536.75,537.7818836109,48630,1466,26152333,15880,32.65,7.9,-6.25
05/05/2016,533.15,543.85,533.15,541.2,539.1899770023,89574,2801,48297403,21065,23.52,10.7,8.05
04/05/2016,535,541,530,533.35,535.665794611,75301,2340,40336170,17053,22.65,11,-1.65
03/05/2016,537,547,527,536.3,538.8963204718,139719,4007,75294055,33705,24.12,20,-0.7
02/05/2016,538,544.45,535.2,538.3,539.8616202121,293764,3380,158591909,205195,69.85,9.25,0.3
29/04/2016,533.9,538,528.05,537,534.9209853116,83263,2411,44539126,12315,14.79,9.95,3.1
28/04/2016,538,544.75,525.95,527.05,529.4365730538,332611,4432,176096428,37700,11.33,18.8,-10.95
27/04/2016,539.75,544.5,534.85,538.5,539.6338654764,135991,4428,73385349,40942,30.11,9.65,-1.25
26/04/2016,525.5,542.05,524.2,540.35,535.997391605,133032,4436,71304805,52932,39.79,17.85,14.85
25/04/2016,531.8,534,523.8,525.9,526.8034948456,75082,2201,39553460,23264,30.98,10.2,-5.9
22/04/2016,530,536.5,527.2,531.5,532.4580859058,135730,3543,72270536,60746,44.76,9.3,1.5
21/04/2016,532.3,533.8,526.85,531.95,530.1702809385,414468,4556,219738616,305950,73.82,6.95,-0.35
20/04/2016,526.5,530.5,520.3,527.25,526.5144959733,216060,6403,113758722,56066,25.95,10.2,0.75
18/04/2016,514,525.45,507.3,524.15,519.7347195833,187364,6805,97379576,51309,27.38,18.15,10.15
13/04/2016,507,514.75,504,511.75,510.177373456,198192,6161,101113074,45681,23.05,10.75,4.75
12/04/2016,503,509,501,503,505.7553497685,135847,4391,68705347,30565,22.5,8,0
11/04/2016,505,506.25,497.75,502.6,500.6836212837,165422,5592,82824086,24833,15.01,8.5,-2.4
08/04/2016,505,510.9,504.2,505.55,507.2662955054,78672,2621,39907654,17556,22.32,6.7,0.55
07/04/2016,507,513.05,501.7,507.6,508.3849541083,164191,4373,83472234,61685,37.57,11.35,0.6
06/04/2016,505,507,497.5,506,502.0042841395,119744,4922,60112001,24699,20.63,9.5,1
05/04/2016,513.9,515.95,501.9,504,508.3109593838,85680,3223,43552083,30630,35.75,14.05,-9.9
04/04/2016,519,519,512.3,513.9,514.7063628799,85323,2032,43916291,45328,53.13,6.7,-5.1
01/04/2016,514,517.25,510.7,513.45,514.7311301053,134076,4574,69013091,22803,17.01,6.55,-0.55
31/03/2016,514.5,518.85,508.2,512.2,513.7910805832,140054,4046,71958496,32985,23.55,10.65,-2.3
30/03/2016,510,516.8,502.75,512.1,508.4248028599,172593,4894,87750562,43360,25.12,14.05,2.1
29/03/2016,520,524.95,495.2,504.35,508.3089585705,346082,10462,175916581,55187,15.95,29.75,-15.65
