Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1992,9000.00,12000.00,1000.00,10500.00,0,0,0.00,,,11000.00,1500.00,@
1995,515.00,570.00,460.00,490.00,0,0,0.00,,,110.00,-25.00,@
1996,385.00,540.00,355.00,489.75,1293367,8554,546606513.00,,,185.00,104.75,@
1997,502.00,825.00,470.00,632.50,1951411,13395,1339021905.00,,,355.00,130.50,@
1998,632.50,963.00,515.00,858.75,2167361,13326,1689927093.00,,,448.00,226.25,@
1999,910.00,1533.25,910.00,1355.00,43270,8,56453900.00,,,623.25,445.00,
1999,868.00,5022.00,858.00,1390.00,7678805,157477,14786848931.00,,,4164.00,522.00,@
2000,1435.00,1540.00,645.05,1043.95,29871412,745482,27914926634.00,,,894.95,-391.05,@
2000,1150.00,1150.00,829.00,990.00,423001,40,421720198.00,,,321.00,-160.00,
2001,1050.00,1223.50,831.00,1143.30,14301809,467121,15470047026.00,,,392.50,93.30,@
2001,1115.00,1340.00,891.15,1138.30,11497429,563469,13122817091.00,,,448.85,23.30,
2002,1154.95,1210.00,800.00,899.35,8170123,308598,8165593831.00,4847237,59.33,410.00,-255.60,
2003,904.00,1334.00,561.10,1317.25,11452158,415715,10906577353.00,6278734,54.83,772.90,413.25,
2004,1339.00,1424.70,194.25,317.25,33372502,502414,12416113643.00,16830010,50.43,1230.45,-1021.75,
2005,320.00,446.95,226.00,443.40,52697607,489238,16526174639.00,24260826,46.04,220.95,123.40,
2006,445.00,761.80,178.00,250.70,128574599,1491358,42237419294.00,51793882,40.28,583.80,-194.30,
2007,253.40,261.50,160.00,212.60,128297085,1180424,26056240916.00,68759543,53.59,101.50,-40.80,
2008,215.00,243.55,146.40,186.90,83026983,780187,17344838143.00,41908611,50.48,97.15,-28.10,
2009,183.00,363.00,171.60,335.60,84947018,889581,22863025736.00,37922376,44.64,191.40,152.60,
2010,339.00,380.00,300.10,369.90,62340807,810241,20786824778.00,28629684,45.92,79.90,30.90,
2011,370.00,380.80,273.60,319.55,37358020,604625,11716100911.00,17439089,46.68,107.20,-50.45,
2012,320.25,430.00,286.50,414.10,46582072,667107,16237123493.00,26257840,56.37,143.50,93.85,
2013,415.05,450.00,354.40,400.55,35555795,810997,14318689651.00,14464070,40.68,95.60,-14.50,
2014,403.00,671.95,366.70,625.80,49699118,1389611,23721044265.00,19723587,39.69,305.25,222.80,
2015,627.10,752.45,572.00,649.50,40971685,1256694,27367601570.00,13528355,33.02,180.45,22.40,
2016,651.00,658.00,458.25,476.25,19553846,473708,10268591495.00,7681572,39.28,199.75,-174.75,
@ Shares traded in Physical form
