Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1995,112.50,130.00,75.00,88.00,1124400,1299,113593550.00,,,55.00,-24.50,@
1996,86.00,230.50,79.00,208.00,19475000,18289,3429806360.00,,,151.50,122.00,@
1997,183.50,475.00,182.00,347.00,47027160,162881,17230836270.00,,,293.00,163.50,@
1998,240.00,440.00,195.00,262.60,118967688,399826,33415084210.00,,,245.00,22.60,@
1999,283.00,283.00,185.25,185.25,485700,44,122276910.00,,,97.75,-97.75,
1999,264.50,349.90,148.00,210.00,145995683,624183,35911878462.00,,,201.90,-54.50,@
2000,154.00,176.65,106.70,166.15,1294588,37,148711266.00,,,69.95,12.15,
2000,217.45,232.15,82.30,163.50,233482136,1131007,32181601184.00,,,149.85,-53.95,@
2001,162.50,195.75,115.25,176.40,147699798,773752,24641268207.00,,,80.50,13.90,@
2001,166.00,188.55,104.50,140.60,29281853,268880,4224315316.00,,,84.05,-25.40,
2002,140.50,196.30,135.00,172.60,85030503,672026,14596020616.00,30269402,35.60,61.30,32.10,
2003,174.00,514.90,164.70,507.95,72493081,665387,21268414360.00,28605462,39.46,350.20,333.95,
2004,512.00,786.00,375.00,769.90,61692233,881237,34281838772.00,21146916,34.28,411.00,257.90,
2005,771.00,1498.50,669.05,1386.25,18499206,321067,18338365492.00,7615136,41.16,829.45,615.25,
2006,1394.00,2668.00,1185.00,2298.15,24980291,853810,52742658846.00,8915088,35.69,1483.00,904.15,
2007,2302.00,2925.00,1301.00,2584.25,38394966,1568607,82380062277.00,15427805,40.18,1624.00,282.25,
2008,2585.00,2626.00,984.10,1362.40,100635722,4950831,158572603593.00,25988413,25.82,1641.90,-1222.60,
2009,1372.00,2550.00,1250.00,2406.10,50442355,2157580,92266870233.00,12361793,24.51,1300.00,1034.10,
2010,2410.00,2695.00,2060.00,2324.75,16991328,756868,40904363466.00,6583526,38.75,635.00,-85.25,
2011,2330.00,2352.00,225.00,239.00,43850081,1444943,40789211376.00,14242447,32.48,2127.00,-2091.00,
2012,239.00,328.35,195.05,228.40,175949525,2534877,43289442022.00,46896252,26.65,133.30,-10.60,
2013,229.50,245.40,100.35,176.45,177576735,2391685,28008748247.00,39715398,22.37,145.05,-53.05,
2014,177.15,291.50,145.75,265.20,276144693,2916378,54810242525.00,158662554,57.46,145.75,88.05,
2015,266.00,299.50,164.10,169.25,119093527,1685796,27891917386.00,37621206,31.59,135.40,-96.75,
2016,169.00,175.00,90.40,123.65,111588362,824443,13369948742.00,27580555,24.72,84.60,-45.35,
@ Shares traded in Physical form
