Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1995,42.00,45.00,38.50,40.25,0,0,0.00,,,6.50,-1.75,@
1996,33.00,43.00,32.25,40.25,14496600,31152,535267402.00,,,10.75,7.25,@
1997,41.25,88.00,40.50,78.00,22302601,64342,1391189344.00,,,47.50,36.75,@
1998,59.25,65.00,59.25,65.00,85000,4,5180000.00,,,5.75,5.75,
1998,47.50,87.50,47.00,54.75,35447005,89751,2363582909.00,,,40.50,7.25,@
1999,55.00,115.80,55.00,115.80,4371200,7,426832250.00,,,60.80,60.80,
1999,55.00,192.80,49.10,161.50,53513547,156211,4856295655.00,,,143.70,106.50,@
2000,234.90,279.50,210.00,215.00,9877555,123,2477439668.00,,,69.50,-19.90,
2000,165.00,295.85,157.00,222.50,41384003,341748,9702644744.00,,,138.85,57.50,@
2001,222.85,279.40,197.00,210.60,16803654,168189,4074296613.00,,,82.40,-12.25,@
2001,222.00,265.00,185.85,224.70,12547055,68818,2815387420.00,,,79.15,2.70,
2002,224.60,256.35,187.00,219.00,27127549,133742,5848754536.00,22680833,83.61,69.35,-5.60,
2003,219.75,382.00,211.85,366.65,42670188,250666,11584996039.00,35077740,82.21,170.15,146.90,
2004,362.00,525.00,262.00,518.85,33211930,359626,13010617787.00,22882292,68.90,263.00,156.85,
2005,522.00,748.55,461.15,707.45,66938853,233728,41662858937.00,55911441,83.53,287.40,185.45,
2006,710.90,1150.00,620.00,1069.75,46778640,339721,37973827495.00,34979988,74.78,530.00,358.85,
2007,1070.00,1799.00,890.00,1727.80,33300873,386160,37780971567.00,23605982,70.89,909.00,657.80,
2008,1728.00,1825.00,800.00,997.60,60521244,1788719,70389135447.00,23616190,39.02,1025.00,-730.40,
2009,1007.25,1836.00,774.00,1700.40,59713591,1288863,69614649581.00,29603215,49.58,1062.00,693.15,
2010,1690.25,2518.00,1550.00,2346.50,19643539,641768,39218494751.00,8797508,44.79,968.00,656.25,
2011,2369.00,2582.50,400.45,427.05,42483338,980950,38897459288.00,18746817,44.13,2182.05,-1941.95,
2012,431.80,705.00,419.35,678.80,41256694,692535,23407321416.00,22374374,54.23,285.65,247.00,
2013,682.95,727.00,528.00,665.75,51326848,1094343,33148077865.00,27814055,54.19,199.00,-17.20,
2014,666.75,973.85,618.00,952.00,48092166,1279693,38664234055.00,23993397,49.89,355.85,285.25,
2015,952.00,1127.90,932.00,1074.05,31498835,1026680,33025949777.00,15164396,48.14,195.90,122.05,
2016,1084.90,1194.80,928.80,1161.20,13243726,281858,14010716716.00,7644865,57.72,266.00,76.30,
@ Shares traded in Physical form
