Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2016,3055,3111,3055,3067.45,3077.1739010611,14514,1945,44662102,2267,15.62,56,12.45
9-June-2016,3160,3170.35,3072,3083.25,3102.4590932571,25167,2525,78079588,10035,39.87,98.35,-76.75
8-June-2016,3130,3180,3111.8,3170.4,3160.8723742573,11949,1227,37769264,2191,18.34,68.2,40.4
7-June-2016,3125,3146.45,3111.7,3127.9,3131.8730819816,13686,1975,42862815,3751,27.41,34.75,2.9
6-June-2016,3140,3154,3090,3102,3120.4162223198,15941,2060,49742555,5679,35.63,64,-38
3-June-2016,3152,3207.9,3100.05,3146.8,3174.3076598056,33134,3581,105177510,7272,21.95,107.85,-5.2
2-June-2016,3087.3,3144,3060.1,3137.3,3124.0299360146,21880,2419,68353775,3730,17.05,83.9,50
1-June-2016,3100.05,3132,3068.65,3087.3,3121.0199254005,51743,1901,161490934,37538,72.55,63.35,-12.75
31-May-2016,3104.3,3124.3,3070,3099.15,3103.3392809823,67926,2675,210797424,48348,71.18,54.3,-5.15
30-May-2016,3010,3105.7,3005.05,3093.9,3067.0687390072,27859,4211,85445468,6785,24.35,100.65,83.9
27-May-2016,2971.1,3008.1,2970.15,3003.25,2998.1293720597,19556,2113,58631418,4192,21.44,37.95,32.15
26-May-2016,2924.75,2990.05,2916.4,2971.1,2959.5354075864,23173,2213,68581314,7348,31.71,73.65,46.35
25-May-2016,2924,2934.95,2907,2929.25,2924.723143624,14531,1851,42499152,3019,20.78,27.95,5.25
24-May-2016,2865.3,2905,2865.3,2893.3,2892.8782903543,11207,1038,32420487,4194,37.42,39.7,28
23-May-2016,2897,2900,2864.75,2883.95,2884.3059472716,13048,1757,37634424,3684,28.23,35.25,-13.05
20-May-2016,2890,2907.7,2872.1,2896.75,2893.7528130937,13686,1855,39603901,3699,27.03,35.6,6.75
19-May-2016,2897.4,2911.95,2869,2890.3,2892.7807795776,17471,1473,50539773,3350,19.17,42.95,-7.1
18-May-2016,2915.9,2915.9,2862,2884.85,2884.1953666895,36475,2431,105201026,18487,50.68,53.9,-31.05
17-May-2016,2910,2958,2907,2927.95,2937.9185216077,19183,1566,56358091,4556,23.75,51,17.95
16-May-2016,2913,2913,2872,2902.95,2890.1890889831,15104,1793,43653416,2123,14.06,41,-10.05
13-May-2016,2950.15,2950.15,2897.6,2915.85,2917.5037119042,15356,1807,44801187,3553,23.14,52.55,-34.3
12-May-2016,2955.05,2979.1,2945,2950.15,2956.9288774133,17041,1460,50389025,6080,35.68,34.1,-4.9
11-May-2016,2934.1,2980.9,2920.05,2960.65,2961.8839421742,29537,2846,87485166,7878,26.67,60.85,26.55
10-May-2016,2948.1,2973,2931,2961.9,2956.5656728445,26061,2322,77051058,8627,33.1,42,13.8
9-May-2016,2890,2960,2890,2948.1,2938.8585057977,27252,2358,80089772,7728,28.36,70,58.1
6-May-2016,2913,2913,2829,2885.05,2872.7454918307,44863,3826,128879981,7378,16.45,84,-27.95
5-May-2016,2922.9,2948,2881,2893.95,2914.4710444271,51320,4928,149570654,10032,19.55,67,-28.95
4-May-2016,2899.9,2915.35,2884.55,2897.7,2902.2584968153,19625,1699,56956823,6161,31.39,30.8,-2.2
3-May-2016,2955,2959,2865.35,2884.4,2906.0941837649,41281,3742,119966474,5958,14.43,93.65,-70.6
2-May-2016,2899.4,2930,2887.55,2907.7,2903.6249308628,14464,1676,41998031,2138,14.78,42.45,8.3
29-April-2016,2890.1,2914.8,2870,2901.3,2901.5229588705,16290,1836,47265809,2580,15.84,44.8,11.2
28-April-2016,2945,2947,2889.95,2901.3,2913.9097663976,18707,1886,54510510,5373,28.72,57.05,-43.7
27-April-2016,2932.1,2963.45,2932.1,2949.05,2940.8181549839,64368,1563,189294583,51982,80.76,31.35,16.95
26-April-2016,2964.45,2964.45,2919,2932.1,2939.4860411899,17480,2429,51382216,4301,24.61,45.45,-32.35
25-April-2016,3000,3021,2960,2967.4,2983.1675714803,16578,2374,49454952,2809,16.94,61,-32.6
22-April-2016,2980,3026.2,2952.05,3001,2999.6155784149,406447,2729,1219184753,382674,94.15,74.15,21
21-April-2016,3050.05,3064.5,2980,2988.5,3040.3444596494,270380,2693,822048335,252601,93.42,84.5,-61.55
20-April-2016,3069,3079,3006.25,3040.7,3044.0252586915,265374,3246,807805159,245490,92.51,72.75,-28.3
18-April-2016,3148,3157.5,3050,3065.35,3093.0381792805,22211,2980,68699471,5649,25.43,107.5,-82.65
13-April-2016,3060,3170,3040.1,3151.65,3106.0678456159,44616,5314,138580323,9056,20.3,129.9,91.65
12-April-2016,2980,3060,2973.1,3049.95,3039.2088996054,27372,3375,83189226,7787,28.45,86.9,69.95
11-April-2016,2941,2985,2908.05,2976.55,2950.4591801585,17418,2495,51391098,4879,28.01,76.95,35.55
8-April-2016,2968,2968,2885.35,2920.3,2909.186899404,16442,2270,47832851,1344,8.17,82.65,-47.7
7-April-2016,2985,2985.05,2942.5,2968.3,2962.8435178766,10097,1562,29915831,2395,23.72,42.55,-16.7
6-April-2016,2960,3005,2960,2983.55,2987.4992185345,10877,1763,32495029,1421,13.06,45,23.55
5-April-2016,2978,3009.9,2936.7,2956.25,2971.6432115471,66510,2762,197643990,4946,7.44,73.2,-21.75
4-April-2016,2970.05,2987.8,2948.05,2979.4,2971.7410976907,15979,2210,47485451,3183,19.92,39.75,9.35
1-April-2016,2939,2970,2923,2951.05,2949.8953047536,17145,1670,50575955,3042,17.74,47,12.05
31-March-2016,2920,2985,2919.1,2943.4,2951.6637399146,46354,4300,136821421,17662,38.1,65.9,23.4
30-March-2016,2858,2923.85,2858,2922.45,2919.3710216464,77796,2706,227115388,62000,79.7,65.85,64.45
