Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1992,190.00,285.00,180.00,270.00,0,0,0.00,,,105.00,80.00,@
1995,215.00,230.00,205.00,212.50,0,0,0.00,,,25.00,-2.50,@
1996,285.00,360.00,216.00,245.00,758724,2600,207776930.00,,,144.00,-40.00,@
1997,345.00,988.00,260.00,922.75,5095087,36874,3319458606.00,,,728.00,577.75,@
1998,650.00,650.00,546.00,566.50,97650,11,55352500.00,,,104.00,-83.50,
1998,312.00,1310.50,312.00,543.75,4633057,40689,3614505479.00,,,998.50,231.75,@
1999,567.50,1330.00,567.50,1005.00,274095,54,301997740.00,,,762.50,437.50,
1999,543.00,1549.00,541.00,1129.00,7008276,65243,6539085992.00,,,1008.00,586.00,@
2000,1045.75,1305.00,765.00,1030.00,97150,8,92854987.00,,,540.00,-15.75,
2000,1170.00,1350.00,750.10,873.95,5542495,112774,5051774281.00,,,599.90,-296.05,@
2001,881.00,960.00,116.00,144.55,10850736,122297,2784333725.00,,,844.00,-736.45,@
2001,880.00,881.25,130.00,250.70,16105808,172869,3419045973.00,,,751.25,-629.30,
2002,253.00,402.00,230.00,271.40,43016249,610625,12867393052.00,23075552,53.64,172.00,18.40,
2003,264.90,490.00,180.10,448.85,66247675,764202,18076438980.00,31120963,46.98,309.90,183.95,
2004,451.25,597.00,310.00,571.10,76232677,1058805,35933686530.00,29662227,38.91,287.00,119.85,
2005,575.00,880.00,480.10,859.70,29588168,368461,18948249724.00,14164864,47.87,399.90,284.70,
2006,860.00,950.00,637.00,762.35,38440023,472683,30274465156.00,22375315,58.21,313.00,-97.65,
2007,760.00,808.80,565.00,697.65,14558885,241870,10255869801.00,8297812,56.99,243.80,-62.35,
2008,698.00,894.80,561.00,805.10,18991682,308254,14631561534.00,12447610,65.54,333.80,107.10,
2009,800.00,1797.80,755.00,1716.45,18152417,525163,23996630729.00,8655924,47.68,1042.80,916.45,
2010,1739.00,2094.00,1497.00,1986.10,21478351,890121,39586700996.00,8549465,39.81,597.00,247.10,
2011,2002.00,2248.00,1377.95,1905.25,16362335,925231,29531865083.00,4133355,25.26,870.05,-96.75,
2012,1910.00,2278.50,1702.65,1898.35,11267028,777155,21836878747.00,3114715,27.64,575.85,-11.65,
2013,1910.00,2214.70,1434.05,2074.80,8544923,543980,15476202877.00,3857642,45.15,780.65,164.80,
2014,2080.00,3271.80,1907.00,3103.40,10018577,762490,26226581810.00,5249083,52.39,1364.80,1023.40,
2015,3100.00,3149.20,2252.00,2695.25,10601304,799346,27360254968.00,5105943,48.16,897.20,-404.75,
2016,2695.00,3207.90,2375.00,3067.45,4013112,250588,11488494724.00,2214499,55.18,832.90,372.45,
@ Shares traded in Physical form
