Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1997,46.50,53.00,35.00,42.25,19148300,29960,926123295.00,,,18.00,-4.25,@
1998,47.25,47.25,47.25,47.25,100,1,4725.00,,,0.00,0.00,
1998,42.50,60.00,21.50,21.85,24915150,51025,1007218565.00,,,38.50,-20.65,@
1999,21.00,37.00,21.00,37.00,2000,4,63200.00,,,16.00,16.00,
1999,22.15,76.60,21.00,70.00,41230909,76397,1497500227.00,,,55.60,47.85,@
2000,158.00,210.00,132.60,132.60,592131,3,93567072.00,,,77.40,-25.40,
2000,75.00,285.00,65.00,150.55,53070846,328514,9208541871.00,,,220.00,75.55,@
2001,153.50,213.80,126.25,127.85,28259618,235570,4632242199.00,,,87.55,-25.65,@
2001,147.50,192.95,66.50,88.00,20259769,78836,2813271855.00,,,126.45,-59.50,
2002,90.00,164.50,86.00,140.55,164509456,423041,21491814397.00,134182762,81.57,78.50,50.55,
2003,141.70,309.95,119.10,295.70,168547416,796780,33531558677.00,102364223,60.73,190.85,154.00,
2004,299.70,379.90,218.00,370.75,128525646,1000352,38216384623.00,58908975,45.83,161.90,71.05,
2005,374.85,615.90,330.05,584.70,70123338,743130,34158033756.00,26052270,37.15,285.85,209.85,
2006,586.25,925.00,440.00,890.40,97615025,1145239,60547831904.00,49595150,50.81,485.00,304.15,
2007,889.00,1348.00,791.15,1232.40,122973983,1938719,121126475869.00,54081680,43.98,556.85,343.40,
2008,1235.00,1465.00,282.15,448.35,499290521,8739148,301005383813.00,118600079,23.75,1182.85,-786.65,
2009,455.00,983.70,252.75,875.70,604141908,9643157,328868631177.00,105384815,17.44,730.95,420.70,
2010,888.00,1277.00,773.00,1144.65,148456747,3260442,141846574663.00,40511372,27.29,504.00,256.65,
2011,1153.00,1158.00,641.00,684.60,128990871,3650345,121256548727.00,32305682,25.04,517.00,-468.40,
2012,690.00,1159.00,685.10,1137.30,115174461,3004146,105874070576.00,34355752,29.83,473.90,447.30,
2013,1147.00,1236.90,758.80,1098.45,90738611,2897505,93605170430.00,31265154,34.46,478.10,-48.55,
2014,1102.00,1796.80,319.50,353.00,61866256,2933775,70899521858.00,21471502,34.71,1477.30,-749.00,
2015,355.45,393.30,242.95,257.80,253131538,3620300,76057355689.00,97642316,38.57,150.35,-97.65,
2016,261.00,263.50,180.80,252.65,177827060,1449950,39335508980.00,62783726,35.31,82.70,-8.35,
@ Shares traded in Physical form
