Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1995,450.00,530.00,420.00,500.00,0,0,0.00,,,110.00,50.00,@
1996,470.00,765.00,470.00,765.00,381701,1603,258091000.00,,,295.00,295.00,@
1997,710.00,2525.00,703.25,1232.75,2615690,13057,3885429388.00,,,1821.75,522.75,@
1998,2410.00,2410.00,2360.00,2360.00,15400,4,36840000.00,,,50.00,-50.00,
1998,1000.00,3079.00,1000.00,2958.50,13475519,100646,31479395168.00,,,2079.00,1958.50,@
1999,4545.00,9700.00,2688.00,9700.00,61478,11,230379335.00,,,7012.00,5155.00,
1999,2959.25,14649.00,2300.00,14516.25,24223348,661564,131353782101.00,,,12349.00,11557.00,@
2000,15011.00,16931.65,5416.00,5705.55,104964100,4858471,804140099021.00,,,11515.65,-9305.45,@
2000,10759.95,13812.90,5470.00,5575.00,141438,150,1287169443.00,,,8342.90,-5184.95,
2001,5719.00,6988.00,2720.65,3761.35,60301637,2778298,304111565213.00,,,4267.35,-1957.65,@
2001,6000.00,6865.00,2156.00,4073.60,48035186,2735166,161191747578.00,,,4709.00,-1926.40,
2002,4075.00,4861.20,2935.10,4771.15,78878442,4610505,302995663154.00,9749358,12.36,1926.10,696.15,
2003,4762.00,5675.00,2420.00,5563.70,78363935,4456967,305162230780.00,12873688,16.43,3255.00,801.70,
2004,5605.00,6129.00,1281.00,2089.00,78973075,3362269,224495863425.00,21294853,26.96,4848.00,-3516.00,
2005,2099.00,3039.70,1850.00,2996.75,66969515,1833450,153917188937.00,22156032,33.08,1189.70,897.75,
2006,3000.00,3400.00,1572.10,2240.50,65647771,2299332,163019088826.00,30452006,46.39,1827.90,-759.50,
2007,2242.00,2439.00,1511.15,1768.40,75165967,2723742,147024119391.00,38463412,51.17,927.85,-473.60,
2008,1758.00,2017.00,1040.00,1117.85,83427898,3001430,129119432076.00,31787479,38.10,977.00,-640.15,
2009,1125.00,2614.90,1101.00,2605.25,51497575,1731104,88389267184.00,18366366,35.66,1513.90,1480.25,
2010,2606.00,3454.00,2333.00,3445.00,28057298,1196339,78659605863.00,9653427,34.41,1121.00,839.00,
2011,3449.00,3493.95,2169.00,2765.05,35675773,2075057,99455191553.00,10339898,28.98,1324.95,-683.95,
2012,2763.90,2990.00,2101.65,2318.50,32105702,1800131,79407466174.00,11906323,37.08,888.35,-445.40,
2013,2325.10,3575.00,2190.00,3485.50,27854908,1777672,77554042700.00,11686456,41.95,1385.00,1160.40,
2014,3491.00,4401.00,1898.00,1971.20,25483082,2265332,77387104419.00,12212891,47.93,2503.00,-1519.80,
2015,1967.80,2335.20,932.55,1095.85,44017233,2212593,66824317239.00,19001021,43.17,1402.65,-871.95,
2016,1100.00,1278.00,1031.85,1180.80,26779740,786600,31086767636.00,14515649,54.20,246.15,80.80,
@ Shares traded in Physical form
