Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10-June-2016,1429.80,1453.90,1424.20,1437.10,1441.329227820469590217,112694,5249,162429156.00,35770,31.74,29.70,7.30
9-June-2016,1420.00,1440.00,1398.00,1427.95,1424.434846982786368142,155342,6871,221274558.00,48342,31.12,42.00,7.95
8-June-2016,1438.15,1442.25,1420.00,1430.50,1430.006582466567607726,67300,3587,96239443.00,18659,27.73,22.25,-7.65
7-June-2016,1406.00,1443.00,1394.00,1435.05,1422.882991728735933782,167689,8197,238601826.00,32551,19.41,49.00,29.05
6-June-2016,1474.85,1474.85,1413.00,1418.85,1436.736659527809482283,155954,8923,224064829.00,63657,40.82,61.85,-56.00
3-June-2016,1475.00,1481.45,1446.00,1449.05,1456.379620242980127122,124290,7072,181013423.00,43370,34.89,35.45,-25.95
2-June-2016,1490.00,1495.85,1466.00,1475.85,1474.614424249462865106,86105,4920,126971675.00,18950,22.01,29.85,-14.15
1-June-2016,1480.00,1499.00,1478.50,1488.90,1490.174952437388890621,64126,4442,95558959.00,18942,29.54,20.50,8.90
31-May-2016,1470.00,1494.90,1463.80,1474.40,1477.227849159442582112,119623,7637,176710427.00,43202,36.12,31.10,4.40
30-May-2016,1499.00,1500.00,1455.00,1467.80,1469.182520523889297231,804063,5695,1181315305.00,734145,91.30,45.00,-31.20
27-May-2016,1475.00,1534.90,1475.00,1480.70,1502.827876964610528163,330409,15709,496547856.00,104263,31.56,59.90,5.70
26-May-2016,1480.00,1489.00,1462.00,1470.10,1470.747294402021644783,109218,4910,160632078.00,51039,46.73,27.00,-9.90
25-May-2016,1490.00,1494.95,1468.50,1473.25,1476.501934711503516685,93554,4828,138132662.00,18860,20.16,26.45,-16.75
24-May-2016,1466.50,1503.00,1443.75,1465.75,1474.037774919117406765,336599,12503,496159641.00,170434,50.63,59.25,-0.75
23-May-2016,1526.95,1526.95,1450.55,1466.50,1496.561419703103913630,185250,10717,277238003.00,53501,28.88,76.40,-60.45
20-May-2016,1620.00,1627.50,1496.50,1505.15,1536.679716536806054391,527617,36165,810778342.00,141907,26.90,131.00,-114.85
19-May-2016,1650.00,1688.00,1637.45,1655.80,1661.472205828265462352,350739,21616,582743100.00,69823,19.91,50.55,5.80
18-May-2016,1613.00,1646.00,1603.05,1632.45,1630.822849307159353348,138560,5095,225966814.00,78709,56.80,42.95,19.45
17-May-2016,1609.50,1623.90,1602.85,1613.35,1615.221922553507361128,40415,3247,65279194.00,10670,26.40,21.05,3.85
16-May-2016,1602.00,1608.95,1572.60,1604.10,1596.061225967217112332,262454,5165,418892653.00,206945,78.85,36.35,2.10
13-May-2016,1602.10,1616.85,1584.00,1587.95,1593.112195936078774982,47934,2684,76364240.00,15255,31.83,32.85,-14.15
12-May-2016,1602.40,1621.40,1597.00,1613.65,1613.121745822339489885,45480,3865,73364777.00,10032,22.06,24.40,11.25
11-May-2016,1608.00,1610.85,1590.00,1593.30,1600.868054259224690436,32142,2345,51455101.00,9630,29.96,20.85,-14.70
10-May-2016,1606.20,1619.35,1597.65,1614.70,1611.699464107676969092,32096,2300,51729106.00,10326,32.17,21.70,8.50
9-May-2016,1593.00,1609.95,1593.00,1604.65,1603.972080562907494674,30982,2379,49694263.00,11445,36.94,16.95,11.65
6-May-2016,1605.80,1609.35,1579.50,1586.60,1588.338880773927827398,41761,2382,66330620.00,12508,29.95,29.85,-19.20
5-May-2016,1580.40,1611.95,1580.40,1605.30,1603.633838053502518150,61156,3904,98071831.00,15973,26.12,31.55,24.90
4-May-2016,1569.90,1591.50,1562.00,1578.35,1578.127200000000000000,55000,4106,86796996.00,11861,21.57,29.50,8.45
3-May-2016,1624.80,1633.00,1572.10,1579.15,1602.982147245162875671,93599,6214,150037526.00,37113,39.65,60.90,-45.65
2-May-2016,1619.00,1626.85,1605.10,1617.00,1618.892096119228031983,47774,3999,77340951.00,11472,24.01,21.75,-2.00
29-April-2016,1587.00,1617.65,1569.60,1607.75,1604.788211745666709254,93924,6167,150728128.00,21414,22.80,48.05,20.75
28-April-2016,1570.00,1585.40,1561.00,1577.15,1577.533045228921517581,57618,3972,90894299.00,19362,33.60,24.40,7.15
27-April-2016,1579.00,1580.00,1553.55,1570.20,1565.461165048543689320,50058,3865,78363855.00,5992,11.97,26.45,-8.80
