Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1995,50.00,58.75,50.00,58.00,0,0,0.00,,,8.75,8.00,@
1996,26.00,30.00,12.80,16.75,348500,2130,7056185.00,,,17.20,-9.25,@
1997,19.50,27.75,14.80,19.90,564800,3099,11704432.00,,,12.95,0.40,@
1998,20.00,32.10,16.00,20.50,1395300,6611,31387380.00,,,16.10,0.50,@
1999,27.00,53.00,27.00,50.25,700,5,27165.00,,,26.00,23.25,
1999,20.00,57.00,16.40,48.00,3741230,16123,136901581.00,,,40.60,28.00,@
2000,50.50,51.80,18.50,21.55,924926,5851,29326377.00,,,33.30,-28.95,@
2001,22.35,125.75,8.00,91.70,10201024,94959,946304200.00,,,117.75,69.35,@
2001,13.00,128.90,13.00,94.75,525029,6272,48948476.00,,,115.90,81.75,
2002,96.95,154.35,90.00,145.65,27299883,339738,3351298364.00,8372446,30.67,64.35,48.70,
2003,147.50,790.00,123.50,699.95,65243068,894426,20066214123.00,17210040,26.38,666.50,552.45,
2004,720.00,892.00,457.50,685.45,6774244,181590,4639184064.00,4604752,67.97,434.50,-34.55,
2005,694.00,832.00,484.00,766.85,7998723,125883,5536970550.00,4772185,59.66,348.00,72.85,
2006,769.90,1275.00,460.00,612.05,9854039,141674,8664631088.00,7276787,73.85,815.00,-157.85,
2007,616.10,755.00,520.00,633.70,16544880,308257,10972006078.00,9105856,55.04,235.00,17.60,
2008,645.00,780.00,429.90,617.85,17355560,247340,11271525850.00,12090273,69.66,350.10,-27.15,
2009,618.00,1564.00,537.00,1490.30,11984278,270629,11104599947.00,8125863,67.80,1027.00,872.30,
2010,1486.35,1985.00,348.00,480.45,21236759,470254,15460288975.00,11321565,53.31,1637.00,-1005.90,
2011,485.00,495.00,363.00,447.20,26032271,651283,11459631267.00,11888696,45.67,132.00,-37.80,
2012,451.00,631.90,412.15,613.30,17791417,493004,9755928689.00,8184390,46.00,219.75,162.30,
2013,614.15,946.35,569.00,908.60,21543429,794366,16904614113.00,7828390,36.34,377.35,294.45,
2014,915.00,1500.00,855.00,1427.55,15483241,962337,17314499338.00,5314077,34.32,645.00,512.55,
2015,1433.90,2127.00,1364.60,1837.80,22715952,1420011,41370160273.00,9019020,39.70,762.40,403.90,
2016,1833.00,1911.55,1294.05,1437.10,26610164,900073,44255716375.00,14994389,56.35,617.50,-395.90,
@ Shares traded in Physical form
