Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1994,295.00,300.00,245.00,255.00,0,0,0.00,,,55.00,-40.00,@
1995,255.00,304.00,218.00,238.00,486300,1875,107233000.00,,,86.00,-17.00,@
1996,234.00,310.00,198.00,236.75,961500,2212,243894119.00,,,112.00,2.75,@
1997,280.00,360.00,212.00,221.75,699600,1957,209218055.00,,,148.00,-58.25,@
1998,229.75,383.00,216.00,273.70,3949553,24946,1231984495.00,,,167.00,43.95,@
1999,310.00,327.00,310.00,327.00,5800,2,1823500.00,,,17.00,17.00,
1999,272.00,1950.00,270.10,1712.50,12078763,92779,9129137381.00,,,1679.90,1440.50,@
2000,615.00,615.00,415.00,502.60,128994,30,66917822.00,,,200.00,-112.40,
2000,1757.35,3090.00,285.10,538.25,11779570,280906,9041668676.00,,,2804.90,-1219.10,@
2001,535.00,645.00,426.00,520.00,3242319,90686,1855489066.00,,,219.00,-15.00,@
2001,560.00,623.00,410.00,573.10,1992846,56230,1110410123.00,,,213.00,13.10,
2002,591.00,706.00,505.00,601.60,2403033,45146,1441543919.00,1516142,63.09,201.00,10.60,
2003,602.00,678.50,260.00,595.35,6070853,105214,2554302433.00,4723522,77.81,418.50,-6.65,
2004,611.50,820.00,333.50,554.45,11109608,284129,5492431590.00,6171202,55.55,486.50,-57.05,
2005,554.00,763.00,434.00,682.15,11014648,105071,5995700078.00,8165274,74.13,329.00,128.15,
2006,672.00,1065.00,639.95,979.00,14297326,156408,11830914921.00,9890724,69.18,425.05,307.00,
2007,985.00,1265.00,886.00,1222.05,13670497,162299,13965520177.00,10471038,76.60,379.00,237.05,
2008,1217.90,1557.80,890.00,1064.95,12110752,352622,15497303047.00,7454768,61.55,667.80,-152.95,
2009,1070.00,1600.00,953.00,1507.10,10573392,409461,12666535287.00,4804281,45.44,647.00,437.10,
2010,1538.00,2380.00,424.20,484.65,7774453,296924,10147788630.00,3203810,41.21,1955.80,-1053.35,
2011,492.00,539.90,392.05,496.85,22838259,482198,10755040736.00,12028616,52.67,147.85,4.85,
2012,501.00,775.90,488.25,735.50,17516772,367297,10579620773.00,10098693,57.65,287.65,234.50,
2013,739.05,1132.70,475.60,567.75,27979269,960997,20613340930.00,11539272,41.24,657.10,-171.30,
2014,568.00,932.00,552.50,826.15,45592774,1908340,32371315595.00,16694598,36.62,379.50,258.15,
2015,823.00,1200.70,706.40,791.55,90895316,2778510,80858786190.00,36408510,40.06,494.30,-31.45,
2016,810.00,898.00,710.05,741.60,59379064,865872,49014460400.00,42267611,71.18,187.95,-68.40,
@ Shares traded in Physical form
