Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,1243.75,1251.75,1228.55,1230.8,1235.1834334853,115824,4564,143063886,48604,41.96,23.2,-12.95
09/06/2016,1256,1257.8,1233.95,1238.4,1241.6495245812,41963,3166,52103339,8875,21.15,23.85,-17.6
08/06/2016,1259,1267,1248.5,1260.35,1262.4952392194,50832,2648,64175158,24334,47.87,18.5,1.35
07/06/2016,1247,1258.95,1243.25,1250.45,1249.9890659643,52771,2587,65963173,19509,36.97,15.7,3.45
06/06/2016,1259,1265,1248,1251.7,1253.7677063619,54952,3579,68897043,23356,42.5,17,-7.3
03/06/2016,1262,1267.5,1246.65,1255.5,1257.6971419732,51714,2660,65040550,22679,43.85,20.85,-6.5
02/06/2016,1238,1263,1232.5,1260.55,1249.4974772957,40631,2535,50768332,14365,35.35,30.5,22.55
01/06/2016,1242,1247,1230.55,1241.35,1240.0647964764,33829,1875,41950152,5602,16.56,16.45,-0.65
31/05/2016,1239.8,1249,1223.5,1238.9,1236.7755310143,51976,2352,64282645,11998,23.08,25.5,-0.9
30/05/2016,1257,1258.9,1213.3,1230.55,1231.5276579786,95994,5486,118219266,29989,31.24,45.6,-26.45
27/05/2016,1228.5,1266.5,1219.05,1257.3,1246.9223359617,185414,7335,231196858,59356,32.01,47.45,28.8
26/05/2016,1206,1233.7,1191.4,1227.5,1212.138034131,97331,4472,117978607,31858,32.73,42.3,21.5
25/05/2016,1185,1212,1183.6,1206.95,1202.5228107297,178644,3944,214823485,135967,76.11,28.4,21.95
24/05/2016,1175,1177.8,1160.6,1173.3,1169.3650954522,54268,2844,63459105,15524,28.61,17.2,-1.7
23/05/2016,1179,1184,1158.1,1160.6,1165.2271743211,159820,3826,186226607,109859,68.74,25.9,-18.4
20/05/2016,1180,1193,1172.85,1180.1,1185.3145189631,36993,2414,43848340,11309,30.57,20.15,0.1
19/05/2016,1208,1208.05,1173.5,1176.7,1183.7285790223,58319,3391,69033867,12850,22.03,34.55,-31.3
18/05/2016,1208,1213.8,1196.5,1208.2,1205.6167825929,60527,2924,72972367,19821,32.75,17.3,0.2
17/05/2016,1193,1228.8,1193,1216.25,1216.8014387472,113154,6362,137685950,33581,29.68,35.8,23.25
16/05/2016,1168,1191.05,1160.5,1187.3,1167.2794025285,577969,3821,674651309,524241,90.7,30.55,19.3
13/05/2016,1196,1203.35,1158.75,1166.05,1170.8810560661,76927,5161,90072367,31721,41.24,44.6,-29.95
12/05/2016,1215.5,1216,1190,1195.35,1200.0080741255,56229,3235,67475254,17392,30.93,26,-20.15
11/05/2016,1200.05,1220.55,1200.05,1203.65,1208.9001517218,52069,2989,62946222,13642,26.2,20.5,3.6
10/05/2016,1200,1220,1197.95,1218.5,1212.5837182448,79672,3118,96608970,32467,40.75,22.05,18.5
09/05/2016,1172,1206.95,1171,1204,1196.3523015175,149988,6308,179438489,74437,49.63,35.95,32
06/05/2016,1163,1173,1149.5,1167.6,1162.7261655566,73570,3374,85541764,23322,31.7,23.5,4.6
05/05/2016,1138.9,1175.5,1135.85,1163.85,1163.793882956,175575,8220,204333111,62936,35.85,39.65,24.95
04/05/2016,1099.5,1138,1099,1131,1130.4221769807,1142509,5098,1291517511,1050144,91.92,39,31.5
03/05/2016,1100,1116,1096,1099.5,1101.5431802369,232838,6332,256481111,128088,55.01,20,-0.5
02/05/2016,1097.95,1097.95,1079.05,1092.75,1089.4590078329,206820,7752,225321912,40897,19.77,18.9,-5.2
29/04/2016,1083.3,1102,1075.6,1088.8,1088.0625513811,97312,3665,105881543,25161,25.86,26.4,5.5
28/04/2016,1124,1125.1,1083,1087,1099.4150654397,80303,4671,88286328,35577,44.3,42.1,-37
27/04/2016,1123.25,1128.45,1114.5,1123.05,1120.1249462609,44195,2566,49503922,12909,29.21,13.95,-0.2
26/04/2016,1111.6,1132,1103.9,1127.85,1117.1599754046,66679,2551,74491110,27567,41.34,28.1,16.25
25/04/2016,1130,1130,1107,1111.6,1115.2049750644,49728,1917,55456913,17263,34.71,23,-18.4
22/04/2016,1148.7,1152,1122,1131.4,1129.5160100977,180636,4659,204031254,123331,68.28,30,-17.3
21/04/2016,1146.7,1156.8,1140.75,1148.7,1150.1216053264,97027,3292,111592849,19098,19.68,16.05,2
20/04/2016,1146.35,1158.5,1134.7,1138.4,1146.365342376,103804,3574,118997308,26568,25.59,23.8,-7.95
18/04/2016,1125,1136.55,1093.7,1127.3,1125.554188172,389633,3863,438553055,321576,82.53,42.85,2.3
13/04/2016,1098,1116.5,1097,1113.2,1110.0987606543,105943,4095,117607193,39999,37.76,19.5,15.2
12/04/2016,1085.05,1091.7,1076.1,1089.6,1086.1733006664,84489,3388,91769696,33722,39.91,15.6,4.55
11/04/2016,1100,1100,1060.15,1079.65,1075.0423348144,164073,4834,176385421,60017,36.58,39.85,-20.35
08/04/2016,1081,1083,1070.45,1079.05,1075.6193599416,82180,3560,88394399,31315,38.11,12.55,-1.95
07/04/2016,1102,1110,1067,1072.65,1074.766019514,533053,10845,572907251,325069,60.98,43,-29.35
06/04/2016,1110,1110,1092.1,1101.1,1099.3031265186,273691,5893,300869372,189982,69.41,17.9,-8.9
05/04/2016,1113,1113,1088,1103.4,1102.2301824947,306913,6285,338288772,199049,64.86,25,-9.6
04/04/2016,1116,1121.8,1098,1104.15,1102.5977488914,209941,5693,231480474,113478,54.05,23.8,-11.85
01/04/2016,1104,1117,1093.3,1111.55,1101.4087060265,404846,12009,445900909,308763,76.27,23.7,7.55
31/03/2016,1115,1117.4,1098,1105.55,1106.0217297446,400695,9092,443177377,240325,59.98,19.4,-9.45
30/03/2016,1122,1130.1,1111.2,1115.55,1115.1444693483,317666,8135,354243483,213435,67.19,18.9,-6.45
29/03/2016,1140,1142.35,1123.35,1127.7,1131.5852453498,210903,7272,238654723,94085,44.61,19,-12.3
28/03/2016,1164.4,1167.45,1139,1142.9,1145.5515281026,248020,6322,284119690,119686,48.26,28.45,-21.5
23/03/2016,1160,1167.75,1143.75,1163.1,1154.2837916831,73561,3823,84910270,29154,39.63,24,3.1
