Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1992,720.00,2900.00,680.00,1350.00,0,0,0.00,,,2220.00,630.00,@
1993,1350.00,2675.00,970.00,2450.00,0,0,0.00,,,1705.00,1100.00,@
1994,2540.00,3630.00,2325.00,2550.00,0,0,0.00,,,1305.00,10.00,@
1995,2525.00,2890.00,1850.00,2715.00,409660,7528,793463400.00,,,1040.00,190.00,@
1996,2690.00,3310.00,1940.00,2251.75,1136181,17473,3279858953.00,,,1370.00,-438.25,@
1997,2700.00,4855.00,2280.00,3077.50,2906229,77398,10534134981.00,,,2575.00,377.50,@
1998,2650.00,2890.00,2175.00,2190.00,87020,35,210577480.00,,,715.00,-460.00,
1998,3080.00,3500.00,2100.00,2178.50,3133388,79346,9183172500.00,,,1400.00,-901.50,@
1999,2225.00,2548.75,252.00,321.25,3924825,47,1311271991.00,,,2296.75,-1903.75,
1999,2180.00,2871.50,224.00,286.00,43241789,233947,17906633377.00,,,2647.50,-1894.00,@
2000,326.65,530.85,326.65,492.00,1144070,38,517264606.00,,,204.20,165.35,
2000,300.00,577.00,272.20,541.85,56343704,479486,23298120566.00,,,304.80,241.85,@
2001,542.00,702.00,496.00,689.50,12926317,209082,7770504627.00,,,206.00,147.50,@
2001,554.25,728.90,542.00,663.05,10728199,139015,7161305839.00,,,186.90,108.80,
2002,670.00,694.00,337.50,358.20,20962488,203949,13145374786.00,15917193,75.93,356.50,-311.80,
2003,358.00,699.95,295.00,644.35,52702080,344222,22972183967.00,45570537,86.47,404.95,286.35,
2004,648.50,808.00,473.00,766.10,43250722,429811,27160339149.00,20589702,47.61,335.00,117.60,
2005,769.00,1303.50,679.20,1205.35,50769188,219131,47355674169.00,42604780,83.92,624.30,436.35,
2006,1212.00,1701.00,962.00,1624.55,52093974,277629,68866618365.00,42695779,81.96,739.00,412.55,
2007,1615.00,3195.00,1397.10,2872.45,34902274,368263,75079083487.00,24495324,70.18,1797.90,1257.45,
2008,2925.00,3257.00,1202.00,1487.55,64130052,2205824,132726096723.00,28262318,44.07,2055.00,-1437.45,
2009,1495.00,2875.00,1116.10,2677.85,49741366,1893282,89728113982.00,16175496,32.52,1758.90,1182.85,
2010,2681.00,3139.00,595.95,727.95,38345174,1000184,48461648584.00,14859239,38.75,2543.05,-1953.05,
2011,731.00,738.45,582.25,649.45,61552595,954766,40285600462.00,35438708,57.57,156.20,-81.55,
2012,648.15,882.00,610.70,828.10,90176896,655776,64650775647.00,58621466,65.01,271.30,179.95,
2013,829.00,931.00,632.20,796.30,44971462,1093819,36343415011.00,27435854,61.01,298.80,-32.70,
2014,799.30,1177.00,755.60,1135.00,36801774,1218144,34646597653.00,22083580,60.01,421.40,335.70,
2015,1134.00,1399.80,1093.80,1229.95,38342285,1372595,48176558252.00,19390313,50.57,306.00,95.95,
2016,1266.90,1267.50,1012.00,1230.80,17880315,440864,20056273203.00,10830916,60.57,255.50,-36.10,
@ Shares traded in Physical form
