Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,140.00,195.00,131.25,165.00,0,0,0.00,,,63.75,25.00,@
1992,165.00,500.00,161.25,370.00,0,0,0.00,,,338.75,205.00,@
1993,367.50,585.00,322.50,575.00,0,0,0.00,,,262.50,207.50,@
1994,560.00,845.00,535.00,590.00,0,0,0.00,,,310.00,30.00,@
1995,595.00,646.00,530.00,624.00,1706850,5930,954891100.00,,,116.00,29.00,@
1996,585.00,934.75,570.00,807.75,5479231,31098,4330726137.00,,,364.75,222.75,@
1997,808.00,1590.00,800.00,1383.50,14219041,133433,18158575367.00,,,790.00,575.50,@
1998,1625.00,1715.00,1569.50,1665.00,89550,15,146266150.00,,,145.50,40.00,
1998,1383.00,1786.00,1268.25,1663.50,37841302,325978,59450581567.00,,,517.75,280.50,@
1999,1670.00,2294.50,1670.00,2294.50,78750,14,153702400.00,,,624.50,624.50,
1999,1670.00,2810.00,1645.00,2250.00,23068154,363860,51732155886.00,,,1165.00,580.00,@
2000,2445.00,2650.00,173.75,184.50,1307212,51,451085905.00,,,2476.25,-2260.50,
2000,2270.00,3249.00,163.00,206.35,206107902,1608263,80454640392.00,,,3086.00,-2063.65,@
2001,207.50,239.45,177.00,205.35,209057813,1052397,44116691011.00,,,62.45,-2.15,@
2001,196.50,232.35,181.55,223.65,99187046,670254,21156768244.00,,,50.80,27.15,
2002,223.50,266.00,152.00,181.75,150165910,983277,29445228680.00,77138653,51.37,114.00,-41.75,
2003,182.30,211.00,135.00,204.70,201713717,1160247,35287253226.00,101374640,50.26,76.00,22.40,
2004,206.05,218.00,104.00,143.50,235609101,1029247,34679532592.00,133201272,56.53,114.00,-62.55,
2005,144.20,200.65,126.30,197.25,206517512,730137,33390266368.00,116935091,56.62,74.35,53.05,
2006,197.00,296.00,179.90,216.55,250967603,1346281,59790195169.00,123964262,49.39,116.10,19.55,
2007,218.00,230.40,166.00,213.90,168607841,863172,34339064687.00,106450477,63.13,64.40,-4.10,
2008,214.20,267.00,170.00,250.25,134881302,839030,31486305109.00,76420589,56.66,97.00,36.05,
2009,251.20,306.00,210.70,264.75,105657202,839364,27013486589.00,52194420,49.40,95.30,13.55,
2010,265.95,320.70,218.10,312.30,73734539,642252,19356519459.00,39950814,54.18,102.60,46.35,
2011,313.85,420.00,264.50,407.80,62095209,757142,20531248732.00,27212528,43.82,155.50,93.95,
2012,408.00,579.60,375.10,524.70,58778180,726240,26397073646.00,33735898,57.40,204.50,116.70,
2013,527.95,725.00,432.25,570.95,56439473,1194089,32165632638.00,23062345,40.86,292.75,43.00,
2014,570.00,828.75,536.00,759.50,25310555,951953,16296517661.00,9745744,38.50,292.75,189.50,
2015,759.25,979.00,750.00,863.25,32903403,1221086,28614536430.00,11790661,35.83,229.00,104.00,
2016,859.55,907.30,765.35,874.45,12080563,381178,10215670685.00,5684681,47.06,141.95,14.90,
@ Shares traded in Physical form
