Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,354,358.6,350.45,351.55,353.5361615149,386986,7336,136813545,87582,22.63,8.15,-2.45
09/06/2016,360.7,362.75,353.5,354.35,355.7934050504,609618,8550,216898064,296299,48.6,9.25,-6.35
08/06/2016,364,365,360.75,362.65,362.4029307298,336162,5624,121826094,135958,40.44,4.25,-1.35
07/06/2016,357.9,363.75,356.8,362.8,360.9939686837,361281,5268,130420262,164388,45.5,6.95,4.9
06/06/2016,354,356.9,351.7,355.8,354.9480649647,190565,3207,67640678,60731,31.87,5.2,1.8
03/06/2016,359.5,360.1,352.8,354.6,355.6982088832,339788,5360,120861983,132221,38.91,7.3,-4.9
02/06/2016,361,361,353.35,357.8,355.2426537071,415856,5688,147729789,186927,44.95,7.65,-3.2
01/06/2016,353,361.45,353,360.75,358.8124503969,414541,9003,148742472,144159,34.78,8.45,7.75
31/05/2016,357,359.4,350,351.6,356.5261387926,5529387,8642,1971370997,5312147,96.07,9.4,-5.4
30/05/2016,353,358.55,353,356.6,356.096964646,370764,6361,132027935,155057,41.82,5.55,3.6
27/05/2016,363,363.8,356.35,359.45,359.7562782668,444868,7564,160044056,173613,39.03,7.45,-3.55
26/05/2016,356.5,364.25,353.6,362.3,358.8720991607,693420,10985,248849091,280392,40.44,10.65,5.8
25/05/2016,350,357.6,349.9,356.4,353.6348222984,459872,7257,162626753,195166,42.44,7.7,6.4
24/05/2016,348.8,351.7,346.55,348.6,349.5008693406,650493,10705,227347869,238301,36.63,5.15,-0.2
23/05/2016,347.1,354.75,339.75,347.4,346.0155597313,2186156,30279,756443992,697448,31.9,15,0.3
20/05/2016,326.8,337.85,325,329.95,328.8124122649,1510941,11387,496816155,865874,57.31,12.85,3.15
19/05/2016,332.85,332.85,323.1,324.9,325.6809387188,250256,4474,81503609,56414,22.54,9.75,-7.95
18/05/2016,328.15,334.2,325.95,332.85,330.6358602113,259134,4215,85678993,96374,37.19,8.25,4.7
17/05/2016,329,333.3,328.65,330.35,331.425918721,413809,4176,137147028,233281,56.37,4.65,1.35
16/05/2016,320,330,317,329.3,323.9784205731,367665,6607,119115526,152824,41.57,13,9.3
13/05/2016,319.1,321.65,315.3,319.3,319.0352501793,260793,3021,83202160,105726,40.54,6.35,0.2
12/05/2016,319.4,321,315.5,319,318.5704536143,256275,3449,81641643,129085,50.37,5.5,-0.4
11/05/2016,322.8,322.8,316.1,318,318.4996647434,241606,4165,76951430,75235,31.14,6.7,-4.8
10/05/2016,324.75,325.45,321.8,323.3,323.1258096842,234505,2204,75774618,73848,31.49,3.65,-1.45
09/05/2016,321.9,326,320.05,324.75,323.6712683746,302931,4842,98050061,109198,36.05,5.95,2.85
