Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,115.00,442.50,100.00,292.50,0,0,0.00,,,342.50,177.50,@
1992,310.00,925.00,300.00,475.00,0,0,0.00,,,625.00,165.00,@
1993,470.00,715.00,410.00,675.00,0,0,0.00,,,305.00,205.00,@
1994,700.00,875.00,367.50,380.00,0,0,0.00,,,507.50,-320.00,@
1995,380.00,385.00,210.00,251.00,4303900,12576,1146108400.00,,,175.00,-129.00,@
1996,290.00,330.00,189.00,306.00,183780957,429070,53320280068.00,,,141.00,16.00,@
1997,312.50,645.00,306.00,618.50,851155577,1739178,432376937582.00,,,339.00,306.00,@
1998,722.00,722.00,675.00,705.00,48700,11,34537150.00,,,47.00,-17.00,
1998,616.00,830.00,546.00,750.00,798935239,1801236,538174359068.00,,,284.00,134.00,@
1999,792.00,991.00,792.00,991.00,171100,14,148290800.00,,,199.00,199.00,
1999,757.50,1145.00,603.30,665.00,288201017,1145572,262247722846.00,,,541.70,-92.50,@
2000,710.00,992.60,560.00,908.00,484620,34,358566085.00,,,432.60,198.00,
2000,710.00,1053.95,490.00,896.60,180421487,1589634,141098638556.00,,,563.95,186.60,@
2001,899.10,962.00,680.00,754.95,59072157,661672,49107162872.00,,,282.00,-144.15,@
2001,925.75,925.75,575.00,676.80,47717273,858970,32394582951.00,,,350.75,-248.95,
2002,670.55,781.90,554.95,660.40,46383647,861429,31147070205.00,16350054,35.25,226.95,-10.15,
2003,663.90,1050.00,602.00,984.55,33017067,623523,25286887026.00,15939923,48.28,448.00,320.65,
2004,994.00,1338.00,732.00,1309.80,28990644,579495,30960662756.00,15812302,54.54,606.00,315.80,
2005,1324.50,1961.00,114.60,142.00,194929372,1218897,54068355353.00,86547887,44.40,1846.40,-1182.50,
2006,142.50,212.70,139.90,175.95,371209495,2220100,65040548363.00,155948045,42.01,72.80,33.45,
2007,177.90,212.05,140.15,210.30,311960663,1414363,52756372567.00,169770098,54.42,71.90,32.40,
2008,212.00,239.40,132.05,171.45,260838500,1496675,50702879479.00,137515817,52.72,107.35,-40.55,
2009,172.50,271.30,155.75,250.85,168321063,1168117,35112536045.00,71907634,42.72,115.55,78.35,
2010,251.00,313.30,151.50,174.50,130681064,842584,28548021397.00,67263614,51.47,161.80,-76.50,
2011,175.80,216.10,150.00,201.30,157975423,867167,29651582770.00,89883932,56.90,66.10,25.50,
2012,203.00,306.50,197.00,286.80,112115834,807805,27131699443.00,61845205,55.16,109.50,83.80,
2013,287.25,380.00,272.20,321.60,125456024,1518919,40449608081.00,66437677,52.96,107.80,34.35,
2014,323.30,400.00,311.00,368.40,123191595,1866469,42471332567.00,70050514,56.86,89.00,45.10,
2015,368.00,409.70,294.50,327.60,137631764,1766983,46334536450.00,76068674,55.27,115.20,-40.40,
2016,327.60,365.00,268.00,351.55,63730496,685058,20622563179.00,31627796,49.63,97.00,23.95,
@ Shares traded in Physical form
