Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,1491,1505,1477.7,1487.1,1489.9270608217,157789,8834,235094101,28026,17.76,27.3,-3.9
09/06/2016,1511,1513.25,1488.1,1492.3,1498.6946291141,122140,6708,183050562,28809,23.59,25.15,-18.7
08/06/2016,1499,1515,1491.95,1510.65,1505.4477248433,238555,13496,359132082,72007,30.18,23.05,11.65
07/06/2016,1469.1,1499.95,1461.55,1488.05,1485.329889337,251936,9725,374208071,76617,30.41,38.4,18.95
06/06/2016,1470,1472.5,1461.5,1468.1,1467.7276396935,80265,4146,117807159,22309,27.79,11,-1.9
03/06/2016,1480,1486.3,1456.1,1461,1468.1597831544,167308,7298,245634877,59709,35.69,30.2,-19
02/06/2016,1460,1482.8,1442.65,1478.35,1463.8437781302,186632,9118,273200092,45108,24.17,40.15,18.35
01/06/2016,1465,1483,1462.5,1466.75,1472.1347831826,151510,7760,223043141,37910,25.02,20.5,1.75
31/05/2016,1481.2,1488.7,1467.95,1474.3,1475.4809546933,177104,7402,261313579,38149,21.54,20.75,-6.9
30/05/2016,1469.95,1495,1465,1486.45,1481.8847726804,247207,10641,366332289,59349,24.01,30,16.5
27/05/2016,1475,1486.6,1452.65,1474.55,1470.2581865185,449489,21236,660864882,95019,21.14,33.95,-0.45
26/05/2016,1404,1484,1389.75,1472.6,1431.6299196383,1689860,67746,2419254136,769101,45.51,94.25,68.6
25/05/2016,1250.5,1296.9,1250.5,1291.3,1275.5746883231,276007,13758,352067543,85513,30.98,46.4,40.8
24/05/2016,1243,1247.95,1224,1241.4,1235.8254769809,149115,7322,184280116,33062,22.17,23.95,-1.6
23/05/2016,1263.9,1265.4,1237,1240.85,1250.8333756122,153741,8012,192304374,59364,38.61,28.4,-23.05
20/05/2016,1271.05,1279.5,1254.6,1257.6,1270.0977751061,294441,7145,373968859,183509,62.32,24.9,-13.45
19/05/2016,1305.1,1308.5,1261,1267,1283.8151660208,197415,8704,253444371,59097,29.94,47.5,-38.1
18/05/2016,1289,1311,1278,1309.4,1298.1513235365,123986,6168,160952590,33837,27.29,33,20.4
17/05/2016,1289.05,1308.75,1278,1293.4,1299.0127464459,125839,6365,163466465,30196,24,30.75,4.35
16/05/2016,1290,1295.45,1269.75,1283.2,1281.7232391103,155376,8138,199149030,49062,31.58,25.7,-6.8
13/05/2016,1313.9,1315,1282,1287.15,1292.805985411,153540,8374,198497431,40020,26.06,33,-26.75
12/05/2016,1321,1338.9,1313.55,1317.65,1325.3708322947,116341,7053,154194968,23443,20.15,25.35,-3.35
11/05/2016,1298.7,1331.9,1296,1324,1319.0783903204,393569,10702,519148363,210922,53.59,35.9,25.3
10/05/2016,1297.9,1321.75,1289,1318.6,1308.067242132,222197,11523,290648617,66862,30.09,32.75,20.7
