Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,95.00,163.75,83.75,123.00,0,0,0.00,,,80.00,28.00,@
1992,126.25,430.00,124.00,195.00,0,0,0.00,,,306.00,68.75,@
1993,190.00,272.50,145.00,250.00,0,0,0.00,,,127.50,60.00,@
1994,260.00,332.50,247.50,260.00,0,0,0.00,,,85.00,0.00,@
1995,255.00,299.00,205.00,258.00,7557400,24154,2005710500.00,,,94.00,3.00,@
1996,261.00,318.00,188.00,218.75,96717441,261248,24107278008.00,,,130.00,-42.25,@
1997,222.00,288.75,171.25,202.75,107345841,365717,25072183038.00,,,117.50,-19.25,@
1998,190.00,272.00,143.50,147.00,708100,250,157344625.00,,,128.50,-43.00,
1998,242.00,281.20,141.30,160.50,174609893,578418,34952007083.00,,,139.90,-81.50,@
1999,235.00,368.00,235.00,368.00,170,2,55910.00,,,133.00,133.00,
1999,161.50,557.00,158.00,555.90,450089682,1429130,141576279539.00,,,399.00,394.40,@
2000,410.00,410.00,142.75,194.70,138437,84,30623234.00,,,267.25,-215.30,
2000,569.50,629.95,141.25,195.65,477874652,2127092,117121001143.00,,,488.70,-373.85,@
2001,197.00,292.70,195.75,219.75,309378878,1426176,75052693794.00,,,96.95,22.75,@
2001,209.25,293.10,143.75,191.40,135160645,1041727,25742641371.00,,,149.35,-17.85,
2002,192.80,220.00,145.60,213.55,103743662,807047,19703699038.00,34391143,33.15,74.40,20.75,
2003,213.70,544.00,175.40,527.35,94901725,807223,28515837460.00,32369475,34.11,368.60,313.65,
2004,530.00,1021.00,380.00,982.00,99862353,1543972,64522473558.00,23170514,23.20,641.00,452.00,
2005,988.70,1849.80,901.25,1844.20,25429260,616522,30954140394.00,11142650,43.82,948.55,855.50,
2006,1845.00,2915.00,1230.15,1442.95,50232409,1864878,106016571535.00,18126055,36.08,1684.85,-402.05,
2007,1400.00,4670.00,1374.90,4171.85,62007415,2346679,161897936430.00,22290048,35.95,3295.10,2771.85,
2008,4191.00,4400.00,670.00,774.40,141997145,6933850,263685738616.00,33589063,23.65,3730.00,-3416.60,
2009,777.05,1800.00,557.00,1679.40,167856995,5409143,187693529627.00,47017451,28.01,1243.00,902.35,
2010,1698.00,2212.00,1371.00,1979.05,57506527,2277365,99338479949.00,21503955,37.39,841.00,281.05,
2011,1990.00,1998.10,971.00,995.10,83070209,4032705,124649713072.00,23376481,28.14,1027.10,-994.90,
2012,1006.70,1719.50,991.00,1605.85,78498583,3361031,106811604081.00,18039354,22.98,728.50,599.15,
2013,1616.00,1661.00,678.10,1069.90,67637613,3372578,76666880579.00,19996264,29.56,982.90,-546.10,
2014,1075.00,1774.70,951.60,1496.50,51451413,3637401,72706579838.00,17587357,34.18,823.10,421.50,
2015,1493.40,1892.95,1265.50,1294.50,51606648,3231046,83017059602.00,15816349,30.65,627.45,-198.90,
2016,1276.00,1515.00,1016.60,1487.10,27419835,1262512,33443005563.00,8150744,29.73,498.40,211.10,
@ Shares traded in Physical form
