Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,1371,1404.5,1363.75,1374.6,1384.8615373454,220536,7944,305411824,113338,51.39,40.75,3.6
09/06/2016,1385.15,1392.75,1365,1376.65,1383.0268321137,113148,6585,156486720,50318,44.47,27.75,-8.5
08/06/2016,1380,1397,1380,1384.7,1386.0449736207,104817,3875,145281076,51770,49.39,17,4.7
07/06/2016,1375,1386.5,1372.3,1377.85,1380.6335579935,60981,3304,84192415,28260,46.34,14.2,2.85
06/06/2016,1358,1386.4,1358,1369.6,1374.2934094847,77915,3760,107078071,34523,44.31,28.4,11.6
03/06/2016,1343,1359.25,1342,1353.45,1351.5545570569,265621,7371,359001273,173040,65.15,17.25,10.45
02/06/2016,1346.8,1346.8,1329.55,1332.7,1335.9389212969,72513,2953,96872939,28338,39.08,17.25,-14.1
01/06/2016,1331,1349.7,1326,1333.85,1337.334684185,109067,5401,145859082,41790,38.32,23.7,2.85
31/05/2016,1338.3,1344,1316.4,1324.7,1327.0123860674,57161,3492,75853355,10513,18.39,27.6,-13.6
30/05/2016,1340,1351.2,1314.1,1331.8,1333.1993329123,253340,10974,337752719,58585,23.13,37.1,-8.2
27/05/2016,1339.1,1361.95,1326.9,1335.15,1337.9730787499,105270,3815,140848426,31760,30.17,35.05,-3.95
26/05/2016,1312.5,1343,1307,1337.1,1325.3996153379,362396,6221,480319519,227397,62.75,36,24.6
25/05/2016,1297.1,1318,1297.1,1312.15,1304.154978446,190220,2673,248076360,139794,73.49,20.9,15.05
24/05/2016,1272.5,1303.55,1261.05,1296.25,1287.9312269733,35828,2285,46144000,8495,23.71,42.5,23.75
23/05/2016,1300.2,1301,1279.5,1286.35,1290.9592895225,34512,2057,44553587,4464,12.93,21.5,-13.85
20/05/2016,1315.8,1322.4,1290,1294.05,1308.6297021654,27062,1792,35414137,5899,21.8,32.4,-21.75
19/05/2016,1321.5,1328,1305.65,1309.35,1320.683897516,66586,1494,87939058,43232,64.93,22.35,-12.15
