Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,61.25,115.00,57.50,72.50,0,0,0.00,,,57.50,11.25,@
1992,70.00,190.00,68.00,112.50,0,0,0.00,,,122.00,42.50,@
1993,115.00,300.00,102.50,295.00,0,0,0.00,,,197.50,180.00,@
1994,290.00,430.00,270.00,350.00,0,0,0.00,,,160.00,60.00,@
1995,342.50,390.00,185.00,208.00,1751400,3204,565676100.00,,,205.00,-134.50,@
1996,300.00,398.75,196.00,331.25,6948633,22604,2222366649.00,,,202.75,31.25,@
1997,325.00,500.00,276.00,321.50,14332633,45501,5372206098.00,,,224.00,-3.50,@
1998,136.50,171.00,136.50,167.50,86900,5,12689350.00,,,34.50,31.00,
1998,375.00,390.00,134.00,165.00,29780389,134408,5971014940.00,,,256.00,-210.00,@
1999,174.00,373.70,174.00,373.70,95050,4,26738250.00,,,199.70,199.70,
1999,165.00,462.90,163.50,420.00,52009300,271894,16760219377.00,,,299.40,255.00,@
2000,510.00,510.00,156.50,156.50,119083,4,31469560.00,,,353.50,-353.50,
2000,440.00,664.75,126.10,148.20,90564886,711698,20205540726.00,,,538.65,-291.80,@
2001,150.00,189.40,79.20,80.20,95824742,566602,14933905196.00,,,110.20,-69.80,@
2001,130.00,130.00,50.90,89.25,26035522,216363,2065932395.00,,,79.10,-40.75,
2002,90.00,140.00,78.75,112.70,76823635,566664,8109483869.00,22141718,28.82,61.25,22.70,
2003,113.05,390.25,94.15,389.05,90226666,623351,19871094911.00,32017665,35.49,296.10,276.00,
2004,392.00,558.00,358.00,544.50,136936441,1461869,62149743381.00,25839901,18.87,200.00,152.50,
2005,549.80,730.50,345.00,512.05,55625617,473390,27401442389.00,26609255,47.84,385.50,-37.75,
2006,512.00,909.95,488.00,905.85,60918555,775110,38856337845.00,28244586,46.36,421.95,393.85,
2007,912.00,1002.00,608.00,860.80,49240686,766018,38138136111.00,25677142,52.15,394.00,-51.20,
2008,862.00,872.00,235.50,274.85,27640585,538633,14656962377.00,15224531,55.08,636.50,-587.15,
2009,279.00,1098.70,258.80,1080.80,52219502,1196547,36289953771.00,15870849,30.39,839.90,801.80,
2010,1095.00,1196.70,491.00,777.55,60307839,1408550,42560186269.00,21658584,35.91,705.70,-317.45,
2011,792.00,874.75,585.10,683.05,50148282,1359091,35937974649.00,15772242,31.45,289.65,-108.95,
2012,691.00,973.35,621.75,930.00,39359913,1121012,29031740075.00,13941653,35.42,351.60,239.00,
2013,936.00,1026.45,741.50,943.50,28129031,1002457,25185369577.00,11617336,41.30,284.95,7.50,
2014,945.00,1421.00,847.00,1234.50,32018887,1180944,36722414946.00,19801675,61.84,574.00,289.50,
2015,1234.50,1441.45,1095.00,1271.55,17845213,809364,22245446163.00,7145186,40.04,346.45,37.05,
2016,1265.00,1404.50,1092.00,1374.60,9831854,383547,12462393325.00,4252306,43.25,312.50,109.60,
@ Shares traded in Physical form
