2016,0.77032835739539951
2015,0.19502675307904169
2014,0.78040686707953855
2013,0.9158243654459437
2012,0.94933016967981643
2011,0.9450889500445373
2010,0.88659706348907596
2009,0.88538414320841075
2008,0.90390501033617754
2007,0.88104790592294768
2006,0.87227390008754313
2005,0.87205904377897558
2004,0.8821168765795
2003,0.90889279536284617
2002,0.92499528060971292
2001,0.93438799543976914
2000,0.93612507839328651
1999,0.93723093626534359
1998,0.94096550691107805
1997,0.93775027191325555
1996,0.93827588848372467
1995,0.93756895535292917
1994,0.93744366043519423
1993,0.93982595327336127
1992,0.94098780801078741
1991,0.94314632655402098
2015,Price
365,1277.55
2015,Price
364,1274
2015,Price
363,1270
2015,Price
362,1267.25
2015,Price
358,1270.55
2015,Price
357,1270.7
2015,Price
356,1278.9
2015,Price
355,1284.15
2015,Price
352,1258.2
2015,Price
351,1253
2015,Price
350,1265
2015,Price
349,1304
2015,Price
348,1295.9
2015,Price
345,1295
2015,Price
344,1319.5
2015,Price
343,1328
2015,Price
342,1333
2015,Price
341,1330
2015,Price
338,1342
2015,Price
337,1368
2015,Price
336,1377.9
2015,Price
335,1380.8
2015,Price
334,1369.65
2015,Price
331,1368.5
2015,Price
330,1354
2015,Price
328,1327.15
2015,Price
327,1332
2015,Price
324,1325
2015,Price
323,1297.5
2015,Price
322,1304
2015,Price
321,1298.15
2015,Price
320,1287.85
2015,Price
317,1259
2015,Price
315,1273.85
2015,Price
314,1268.1
2015,Price
313,1261.7
2015,Price
310,1268.05
2015,Price
309,1269.75
2015,Price
308,1258.95
2015,Price
307,1235
2015,Price
306,1236.5
2015,Price
303,1228.2
2015,Price
302,1232.95
2015,Price
301,1252
2015,Price
300,1257.1
2015,Price
299,1260
2015,Price
296,1279
2015,Price
294,1264.9
2015,Price
293,1285
2015,Price
292,1295.15
2015,Price
289,1294.5
2015,Price
288,1300.9
2015,Price
287,1289
2015,Price
286,1289.5
2015,Price
285,1281
2015,Price
282,1286.65
2015,Price
281,1298
2015,Price
280,1299
2015,Price
279,1288.95
2015,Price
278,1279.25
2015,Price
274,1278.95
2015,Price
273,1268.75
2015,Price
272,1274.75
2015,Price
271,1239.5
2015,Price
267,1230
2015,Price
266,1224.9
2015,Price
265,1202.95
2015,Price
264,1201.5
2015,Price
261,1215.45
2015,Price
259,1168.9
2015,Price
258,1175
2015,Price
257,1181.9
2015,Price
254,1193.45
2015,Price
253,1182.95
2015,Price
252,1182.95
2015,Price
251,1162.45
2015,Price
250,1122.45
2015,Price
247,1144.35
2015,Price
246,1157.45
2015,Price
245,1187.45
2015,Price
244,1222
2015,Price
243,1242
2015,Price
240,1255
2015,Price
239,1265
2015,Price
238,1264.1
2015,Price
237,1271.4
2015,Price
236,1312.1
2015,Price
233,1335
2015,Price
232,1373.35
2015,Price
231,1384
2015,Price
230,1371.35
2015,Price
229,1378.15
2015,Price
226,1380
2015,Price
225,1347.8
2015,Price
224,1348
2015,Price
223,1368
2015,Price
222,1394.45
2015,Price
219,1441.45
2015,Price
218,1406
2015,Price
217,1386.45
2015,Price
216,1368
2015,Price
215,1355
2015,Price
212,1378
2015,Price
211,1341.75
2015,Price
210,1325.6
2015,Price
209,1339
2015,Price
208,1339
2015,Price
205,1360.05
2015,Price
204,1367
2015,Price
203,1348
2015,Price
202,1323.05
2015,Price
201,1315
2015,Price
198,1301
2015,Price
197,1288.95
2015,Price
196,1293.5
2015,Price
195,1277
2015,Price
194,1271.75
2015,Price
191,1288
2015,Price
190,1289.5
2015,Price
189,1312.05
2015,Price
188,1333
2015,Price
187,1325
2015,Price
184,1329.5
2015,Price
183,1324.25
2015,Price
182,1302.45
2015,Price
181,1290
2015,Price
180,1295
2015,Price
177,1316.95
2015,Price
176,1310
2015,Price
175,1342.15
2015,Price
174,1336.55
2015,Price
173,1321.65
2015,Price
170,1323.9
2015,Price
169,1266.9
2015,Price
168,1258.9
2015,Price
167,1239.8
2015,Price
166,1228
2015,Price
163,1201
2015,Price
162,1226
2015,Price
161,1229.5
2015,Price
160,1221.95
2015,Price
159,1219.75
2015,Price
156,1228
2015,Price
155,1217
2015,Price
154,1234.75
2015,Price
153,1263.15
2015,Price
152,1268.4
2015,Price
149,1267.85
2015,Price
148,1227
2015,Price
147,1263
2015,Price
146,1272
2015,Price
145,1271.6
2015,Price
142,1260
2015,Price
141,1260.9
2015,Price
140,1266.15
2015,Price
139,1277
2015,Price
138,1264
2015,Price
135,1253.55
2015,Price
134,1230
2015,Price
133,1224.9
2015,Price
132,1193.8
2015,Price
131,1208
2015,Price
128,1207
2015,Price
127,1177.5
2015,Price
126,1184.2
2015,Price
125,1204
2015,Price
124,1209.95
2015,Price
120,1173
2015,Price
119,1183.05
2015,Price
118,1189.7
2015,Price
117,1180
2015,Price
114,1215
2015,Price
113,1220.4
2015,Price
112,1219.45
2015,Price
111,1208.8
2015,Price
110,1224.5
2015,Price
107,1237
2015,Price
106,1231.2
2015,Price
105,1250
2015,Price
103,1277.1
2015,Price
100,1289
2015,Price
99,1279
2015,Price
98,1277.95
2015,Price
97,1279.75
2015,Price
96,1244
2015,Price
91,1205
2015,Price
90,1208.4
2015,Price
89,1211.9
2015,Price
86,1209.9
2015,Price
85,1222
2015,Price
84,1212.9
2015,Price
83,1220
2015,Price
82,1199
2015,Price
79,1206
2015,Price
78,1230.9
2015,Price
77,1238
2015,Price
76,1238.5
2015,Price
75,1230
2015,Price
72,1252
2015,Price
71,1258.95
2015,Price
70,1263.4
2015,Price
69,1241
2015,Price
68,1228.7
2015,Price
64,1234.65
2015,Price
63,1265
2015,Price
62,1264
2015,Price
61,1307.8
2015,Price
59,1303.75
2015,Price
58,1284.4
2015,Price
57,1270
2015,Price
56,1280.5
2015,Price
55,1269.4
2015,Price
54,1274
2015,Price
51,1262.9
2015,Price
50,1255
2015,Price
49,1241
2015,Price
47,1227.95
2015,Price
44,1198
2015,Price
43,1153.75
2015,Price
42,1150
2015,Price
41,1153.45
2015,Price
40,1145
2015,Price
37,1181.9
2015,Price
36,1217
2015,Price
35,1219.7
2015,Price
34,1260
2015,Price
33,1284.8
2015,Price
30,1305
2015,Price
29,1316
2015,Price
28,1334.95
2015,Price
27,1365
2015,Price
23,1373.6
2015,Price
22,1334.9
2015,Price
21,1339.05
2015,Price
20,1337
2015,Price
19,1334.9
2015,Price
16,1312.45
2015,Price
15,1293.75
2015,Price
14,1261.4
2015,Price
13,1258
2015,Price
12,1246.9
2015,Price
9,1246
2015,Price
8,1245.9
2015,Price
7,1230
2015,Price
6,1223
2015,Price
5,1247.5
2015,Price
2,1243.1
2014,Price
1,1244
2014,Price
365,1244
2014,Price
364,1264.5
2014,Price
363,1269
2014,Price
360,1263
2014,Price
358,1283.9
2014,Price
357,1281.05
2014,Price
356,1272.4
2014,Price
353,1252.5
2014,Price
352,1250
2014,Price
351,1229
2014,Price
350,1245
2014,Price
349,1258.85
2014,Price
346,1265
2014,Price
345,1281.6
2014,Price
344,1278
2014,Price
343,1272.25
2014,Price
342,1303.1
2014,Price
339,1300
2014,Price
338,1298.2
2014,Price
337,1291.65
2014,Price
336,1299.9
2014,Price
335,1336
2014,Price
332,1327
2014,Price
331,1299
2014,Price
330,1273.9
2014,Price
329,1259
2014,Price
328,1254.75
2014,Price
325,1250
2014,Price
324,1251.75
2014,Price
323,1267.9
2014,Price
322,1271.5
2014,Price
321,1258
2014,Price
318,1260
2014,Price
317,1263.2
2014,Price
316,1275
2014,Price
315,1266.65
2014,Price
314,1252
2014,Price
311,1248.3
2014,Price
309,1274.8
2014,Price
307,1303
2014,Price
304,1322.9
2014,Price
303,1301.55
2014,Price
302,1311
2014,Price
301,1278
2014,Price
300,1269.4
2014,Price
296,1270.6
2014,Price
295,1264.4
