Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,973,984.2,968.7,975.65,976.8656961936,226144,7600,220912316,70043,30.97,15.5,2.65
09/06/2016,958.05,977,958,971.45,971.0022467609,318681,9781,309439967,143163,44.92,19,13.4
08/06/2016,957,958,950.2,954.15,953.7150951296,183907,5040,175394882,58346,31.73,7.8,-2.85
07/06/2016,956,961.1,951.8,954.65,955.6303981925,175267,5489,167490473,75497,43.08,9.3,-1.35
06/06/2016,959,962.75,953,955.9,957.3625900377,157434,6270,150721422,46906,29.79,9.75,-3.1
03/06/2016,957.5,963.6,955.4,957.95,959.1633157651,144389,5342,138492632,48172,33.36,8.2,0.45
02/06/2016,956.1,957.25,945.25,956,950.7319417679,172276,6793,163788296,64488,37.43,12,-0.1
01/06/2016,958.8,966.5,951.25,953.3,959.1970002024,187746,6787,180085400,53239,28.36,15.25,-5.5
31/05/2016,968.9,972.5,956.2,958.95,962.6894559412,196964,6056,189615166,52791,26.8,16.3,-9.95
30/05/2016,975,981.45,966,969.45,972.2980644622,215289,7715,209325078,65957,30.64,15.45,-5.55
27/05/2016,951.5,975.7,949.5,972.65,965.4896804261,306408,10652,295833762,81680,26.66,26.2,21.15
26/05/2016,950.55,953,944.25,946.65,947.9970395572,196930,6392,186689057,68025,34.54,8.75,-3.9
25/05/2016,949.2,951.9,941.6,949.25,947.5372607731,181679,6484,172147622,51441,28.31,10.3,0.05
24/05/2016,930.9,943.35,929,940.05,939.5904271987,191480,6603,179912775,46574,24.32,14.35,9.15
23/05/2016,938.4,940,925.7,930,932.2889641749,479357,10478,446899241,275459,57.46,14.3,-8.4
20/05/2016,951.15,954.6,932.35,934.1,943.4366603948,380536,11494,359011613,126580,33.26,22.25,-17.05
19/05/2016,971.15,971.7,946.15,950.55,961.9149447196,207759,7354,199846487,79035,38.04,25.55,-20.6
18/05/2016,967,972.75,965.2,970.15,970.0083539901,146038,5042,141658080,34820,23.84,7.55,3.15
17/05/2016,980,983.3,966.65,970.2,974.9704056656,176081,7553,171673764,50745,28.82,16.65,-9.8
16/05/2016,978.25,982.05,972,976.15,976.6958454615,182427,6623,178175693,50999,27.96,10.05,-2.1
13/05/2016,988,990.9,975.5,978,981.2792324199,186873,6110,183374594,59008,31.58,15.4,-10
12/05/2016,977,992.45,975.7,991.05,986.4014013648,218644,8165,215670748,51519,23.56,16.75,14.05
11/05/2016,973,980.45,971,974.85,976.3772818951,155682,5617,152004368,35105,22.55,9.45,1.85
10/05/2016,982,984.85,978.05,981.35,981.3897113816,110977,4366,108911686,31676,28.54,6.8,-0.65
09/05/2016,975,986,972.5,982.95,980.835701275,186660,6915,183082792,72905,39.06,13.5,7.95
06/05/2016,975,976.95,967.5,969.15,971.137957749,225888,8995,219368411,92532,40.96,9.45,-5.85
05/05/2016,982.25,983.5,971.1,975.05,976.872926889,253122,9367,247268029,109401,43.22,12.4,-7.2
04/05/2016,976,983.65,974.25,977.5,979.0786958817,227280,7443,222525006,71136,31.3,9.4,1.5
03/05/2016,989.8,994.7,972.6,976.05,981.9063146851,282136,10845,277031120,69017,24.46,22.1,-13.75
02/05/2016,981.4,992.5,977.05,986.3,986.6816914024,225517,7966,222513495,54915,24.35,15.45,4.9
29/04/2016,995.7,998.75,977.85,982.55,988.3395073375,477000,16373,471437945,149803,31.41,20.9,-13.15
28/04/2016,1019.7,1019.7,992,997.35,1002.3106887336,676909,16633,678473126,204385,30.19,27.7,-22.35
27/04/2016,1019.9,1025.85,1015.1,1019.7,1021.505304447,219250,8822,223965038,75747,34.55,10.75,-0.2
26/04/2016,1017,1023.85,1008,1016.8,1014.6242045027,411535,15742,417553372,103288,25.1,15.85,-0.2
25/04/2016,1042.7,1044.9,1012.75,1016.15,1020.1710315611,628843,25573,641527412,150237,23.89,32.15,-26.55
22/04/2016,1041,1047.75,1030.5,1038.75,1039.4418259961,242213,9581,251766323,74180,30.63,17.25,-2.25
21/04/2016,1044.9,1051.5,1035,1040.9,1041.892153103,232079,9249,241801289,61280,26.4,16.5,-4
20/04/2016,1068.2,1070,1035.35,1038.3,1045.4753239908,261813,13736,273719031,94153,35.96,34.65,-29.9
18/04/2016,1065.45,1065.7,1055,1061.75,1059.6798356477,375048,7026,397430803,177510,47.33,10.7,-3.7
13/04/2016,1052,1068.3,1052,1065.45,1059.6528636201,421477,11413,446619310,216488,51.36,16.3,13.45
12/04/2016,1040.3,1057,1038.6,1047.15,1049.4965556148,193213,7206,202776378,52828,27.34,18.4,6.85
11/04/2016,1035.2,1045,1033.3,1039.85,1040.203615934,167315,6245,174041668,54424,32.53,11.7,4.65
08/04/2016,1033.5,1054,1032.05,1037.85,1042.0771812728,259195,10732,270101195,45808,17.67,21.95,4.35
07/04/2016,1032,1048,1023.25,1037.95,1037.8638117918,170492,6997,176947477,39029,22.89,24.75,5.95
06/04/2016,1030.8,1035.9,1022.2,1031.45,1029.6033108802,87590,4622,90182954,18891,21.57,13.7,0.65
05/04/2016,1030,1042,1022.65,1028.1,1029.9000727707,207501,5923,213705295,69880,33.68,19.35,-1.9
04/04/2016,1036.15,1042.45,1024.45,1035.15,1032.8619374392,116143,5958,119959684,21351,18.38,18,-1
01/04/2016,1039,1045.9,1026.4,1033.65,1033.4509434513,205416,11717,212287359,48657,23.69,19.5,-5.35
31/03/2016,1043,1055.95,1034.1,1045.25,1046.0265598579,292735,9205,306208585,120343,41.11,21.85,2.25
30/03/2016,1040.35,1050.9,1040.25,1044.9,1046.8442966893,225448,8963,236008953,74792,33.17,10.65,4.55
29/03/2016,1023.05,1040.9,1022.4,1035.4,1034.3267014476,246687,7577,255154951,74615,30.25,18.5,12.35
28/03/2016,1029,1031.95,1015.5,1020.5,1022.4571761769,304410,12716,311246189,106985,35.15,16.45,-8.5
23/03/2016,1047,1047,1023,1029.35,1031.4092510749,350489,10739,361497597,106129,30.28,24,-17.65
22/03/2016,1038.1,1052.5,1036.75,1048.5,1045.5529487311,302113,11164,315875138,91235,30.2,15.75,10.4
21/03/2016,1027.2,1039,1023.5,1036.2,1029.796757211,202295,7924,208322735,73940,36.55,15.5,9
18/03/2016,1019,1028.4,1016.25,1025.2,1022.1092599487,827348,8279,845640052,684960,82.79,12.15,6.2
17/03/2016,1028,1036.4,1012.4,1015.55,1024.4158606582,201404,8721,206321452,50951,25.3,24,-12.45
16/03/2016,1021,1025.7,1005.4,1021.75,1016.2924595342,164645,6645,167327472,22640,13.75,20.3,0.75
15/03/2016,1021,1026.95,1016,1020.4,1021.2269395203,191800,5634,195871327,77167,40.23,10.95,-0.6
14/03/2016,1018.15,1026,1013,1018.55,1018.6466696438,206014,6156,209855475,60195,29.22,13,0.4
11/03/2016,1016.5,1029.5,1011.3,1015.65,1019.5711648157,248065,8869,252919921,44780,18.05,18.2,-0.85
10/03/2016,1043.7,1045,1009,1012,1020.1606728685,354839,15320,361992793,105088,29.62,36,-31.7
09/03/2016,1019,1044,1017.35,1041.95,1033.7489334976,367791,11771,380203554,102896,27.98,26.65,22.95
08/03/2016,1006,1031,1006,1027.15,1021.8903415545,424354,13337,433643254,148281,34.94,25,21.15
04/03/2016,1017,1018,1003.75,1006.5,1008.8971727168,2911912,6987,2937819784,2688418,92.32,14.25,-10.5
03/03/2016,1007.25,1017.25,997.55,1012.55,1008.8733010421,340650,11815,343672690,104736,30.75,19.7,5.3
02/03/2016,992.5,1005.25,987.5,1001.2,998.6477151956,529739,12416,529022642,303733,57.34,17.75,8.7
01/03/2016,967.5,985,965,982.25,979.622700262,311829,10931,305474767,104509,33.51,20,14.75
29/02/2016,951.1,993,936.3,966.55,959.3684654216,999988,22873,959356953,372718,37.27,56.7,15.45
