Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,115.00,206.00,88.75,132.00,0,0,0.00,,,117.25,17.00,@
1992,132.00,475.00,127.00,255.00,0,0,0.00,,,348.00,123.00,@
1993,260.00,315.00,161.25,296.00,0,0,0.00,,,153.75,36.00,@
1994,310.00,433.00,305.00,345.00,0,0,0.00,,,128.00,35.00,@
1995,345.00,346.25,194.00,207.00,186760300,217657,46648095350.00,,,152.25,-138.00,@
1996,205.75,267.00,150.00,203.25,885062827,1202405,188755577638.00,,,117.00,-2.50,@
1997,237.00,436.50,147.50,165.50,1403576897,2110539,413721379085.00,,,289.00,-71.50,@
1998,166.00,204.90,100.00,119.80,1359230275,1942499,194879070647.00,,,104.90,-46.20,@
1998,173.00,204.70,103.00,122.00,8512350,3198,1341198089.00,,,101.70,-51.00,
1999,125.00,249.00,117.00,228.60,132877,109,19103373.00,,,132.00,103.60,
1999,119.90,268.85,116.10,233.70,1602458626,2658840,290278733218.00,,,152.75,113.80,@
2000,242.50,381.90,242.50,338.50,1538914,52,498286338.00,,,139.40,96.00,
2000,240.00,390.00,199.00,339.00,1437266289,3537198,467613716162.00,,,191.00,99.00,@
2001,339.95,451.80,291.10,369.50,479310929,1834485,184155122005.00,,,160.70,29.55,@
2001,362.50,472.75,204.10,305.15,245315808,1721769,69215660375.00,,,268.65,-57.35,
2002,307.00,344.00,218.05,297.70,452634295,2823669,126996316647.00,94923726,20.97,125.95,-9.30,
2003,300.00,582.00,258.00,573.00,622141506,4217080,240694762052.00,113693239,18.27,324.00,273.00,
2004,571.00,610.45,382.00,533.80,842992253,6532060,432646881094.00,136461603,16.19,228.45,-37.20,
2005,520.05,901.00,498.20,889.65,645474078,4508134,430613485122.00,183636793,28.45,402.80,369.60,
2006,893.45,1350.00,675.10,1270.35,599584979,5892316,561182133384.00,213239061,35.56,674.90,376.90,
2007,1252.55,3235.00,1250.00,2881.05,216790350,4614899,424981930198.00,66606799,30.72,1985.00,1628.50,
2008,2950.00,3252.10,930.00,1230.25,356855636,12431229,666060056815.00,71430165,20.02,2322.10,-1719.75,
2009,1240.05,2490.00,990.00,1089.40,318257831,10835319,539551606993.00,60221850,18.92,1500.00,-150.65,
2010,1094.00,1187.00,840.55,1058.25,232552398,6408077,240706746198.00,89676860,38.56,346.45,-35.75,
2011,1062.00,1090.00,690.00,692.90,190808426,5415653,168201646637.00,55939012,29.32,400.00,-369.10,
2012,697.90,881.00,671.00,839.10,129648927,3267668,100366977066.00,41797869,32.24,210.00,141.20,
2013,844.75,954.80,765.00,894.80,102763808,3617622,87076935574.00,32723474,31.84,189.80,50.05,
2014,896.75,1142.50,794.00,891.15,85101468,4183512,82024884584.00,33860074,39.79,348.50,-5.60,
2015,885.50,1067.00,796.75,1012.60,94237278,3193848,85988138655.00,33116011,35.14,270.25,127.10,
2016,1010.00,1089.50,888.50,975.65,49223709,1194997,49247608088.00,22861486,46.44,201.00,-34.35,
@ Shares traded in Physical form
