Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,467.9,467.9,455.1,457.2,460.6543694341,440858,7216,203083164,74237,16.84,12.8,-10.7
09/06/2016,467.8,470.25,464.75,466.7,467.3613934525,473127,9056,221121294,73625,15.56,5.5,-1.1
08/06/2016,465,468.7,462.95,466.3,466.6869882726,3469132,9047,1618998765,3078800,88.75,5.75,1.3
07/06/2016,466.95,467,458.65,463.05,462.3640293099,1169024,12270,540514647,358916,30.7,8.35,-3.9
06/06/2016,457.25,464.9,450.5,460.75,457.0645571014,608593,9558,278166290,102323,16.81,14.4,3.5
03/06/2016,456.55,461.75,452.3,453.9,456.9674461099,784791,9758,358623939,193019,24.59,9.45,-2.65
02/06/2016,445,460.3,443.95,453.2,455.1326600222,1105284,16093,503050847,178556,16.15,16.35,8.2
01/06/2016,455.7,458.2,446.25,449.2,452.6172604729,720409,12075,326069548,177463,24.63,11.95,-6.5
31/05/2016,456.3,463.9,444.15,458.2,454.4060046009,3231089,48511,1468226243,478841,14.82,19.75,1.9
30/05/2016,405.4,421.9,401.6,420.55,414.9721726922,1171008,19322,485935734,216680,18.5,20.3,15.15
27/05/2016,400,404.65,395.95,403.5,401.2926117114,672984,9719,270063507,152259,22.62,8.7,3.5
26/05/2016,399,401.7,396.85,399.3,399.0841322361,318249,5850,127008126,82424,25.9,4.85,0.3
25/05/2016,393.55,399.7,393.55,397,397.2741332357,507837,9078,201750504,132161,26.02,6.15,3.45
24/05/2016,384.4,392,382.35,389.25,388.8872814381,541437,8169,210557963,236433,43.67,9.65,4.85
23/05/2016,388,389.9,380.55,382.75,385.3910170822,523527,8228,201762603,117603,22.46,9.35,-5.25
20/05/2016,386.25,392.5,383.3,384.55,388.6313198447,591312,10114,229802363,211230,35.72,9.2,-1.7
19/05/2016,385.25,393.15,383.1,387.7,389.0156947079,1297826,10449,504874683,790274,60.89,10.05,2.45
18/05/2016,384,387.4,381.8,385,385.2307225433,935847,10903,360517016,516632,55.2,5.6,1
17/05/2016,391.5,395,387.3,389.9,391.0030080099,554187,9356,216688784,188029,33.93,7.7,-1.6
16/05/2016,393.8,396.75,389.6,392.55,392.8684358397,500083,8554,196466826,133413,26.68,7.15,-1.25
13/05/2016,390,393.8,385.85,390,390.0503590766,803589,10968,313440178,286073,35.6,7.95,0
12/05/2016,384,388.6,380,387.2,385.842256269,575091,7772,221894409,181761,31.61,8.6,3.2
11/05/2016,386,391.9,376.05,380.1,383.3101447202,1034617,16318,396579192,200371,19.37,15.85,-5.9
10/05/2016,401,401.85,387.2,388.9,391.145381391,748851,13961,292909610,263947,35.25,14.65,-12.1
09/05/2016,401,405.25,395.55,403.35,400.8771946202,749845,11445,300595760,243636,32.49,9.7,2.35
06/05/2016,390.4,400.65,384.45,398.7,393.0782689415,567722,8827,223159181,158018,27.83,16.2,8.3
05/05/2016,383.5,395.95,383.5,391.2,391.3349994389,561389,8909,219691164,109510,19.51,12.45,7.7
04/05/2016,406.75,406.75,380.5,381.8,388.2370799341,1148659,14910,445952016,431178,37.54,26.25,-24.95
03/05/2016,411.4,421.85,407.7,409.5,416.3537420804,1002103,11852,417229334,412379,41.15,14.15,-1.9
02/05/2016,410,410.4,395,407.3,406.845507671,310585,5586,126360112,37336,12.02,15.4,-2.7
29/04/2016,410.05,413.7,403.5,408.85,408.0888520084,659186,9204,269006458,142086,21.55,10.2,-1.2
28/04/2016,419.8,420.85,409.1,410.9,412.0329451516,825129,6377,339980332,60346,7.31,11.75,-8.9
27/04/2016,419.95,425,414.75,418.6,420.121684429,370072,6119,155475272,74638,20.17,10.25,-1.35
26/04/2016,410,423.5,405.35,419.3,417.2353980644,523458,10189,218405207,101564,19.4,18.15,9.3
25/04/2016,417.8,418,410,411.35,412.7626950186,252540,4706,104239091,50618,20.04,8,-6.45
22/04/2016,411.45,419.9,408.3,416.95,416.2484368385,491312,9186,204507852,108359,22.06,11.6,5.5
21/04/2016,408.7,417,406.1,411.45,411.8700292356,556856,9108,229352297,112578,20.22,10.9,2.75
20/04/2016,409.7,410.1,401.1,404.05,406.2927696029,444042,9061,180411054,96468,21.72,9,-5.65
18/04/2016,408.85,409.45,402.55,407.1,406.3036212569,288132,5645,117069075,66651,23.13,6.9,-1.75
13/04/2016,399.85,411.65,398.3,408.55,407.2099198187,836729,16520,340724349,227737,27.22,13.35,8.7
12/04/2016,389.4,396.65,387.25,395.1,393.4201511029,625137,10237,245941493,113801,18.2,9.4,5.7
11/04/2016,373.25,387.2,373.25,385.85,382.1419076546,505385,8895,193128788,135183,26.75,13.95,12.6
08/04/2016,375.1,379.9,371.3,372.2,374.721325719,371753,6001,139303777,62745,16.88,8.6,-2.9
07/04/2016,377.2,384.7,370.75,375.1,377.8198061364,574115,10106,216912018,55039,9.59,13.95,-2.1
06/04/2016,374,382.5,372,377.2,378.0805204142,517434,10286,195631716,85842,16.59,10.5,3.2
05/04/2016,387,387,368.4,370.5,376.5308269147,402992,7879,151738911,113991,28.29,18.6,-16.5
04/04/2016,385.35,390.9,382.75,388.05,387.3262069373,423075,8866,163868035,88338,20.88,8.15,2.7
01/04/2016,388.4,388.4,377.6,379.55,380.612086684,494809,12565,188330286,159288,32.19,10.8,-8.85
31/03/2016,389.8,393.5,380.6,386.3,388.8097714986,655007,11412,254673122,120914,18.46,12.9,-3.5
30/03/2016,380.65,392,377.1,388.9,384.3164301382,808289,11102,310638743,194909,24.11,14.9,8.25
29/03/2016,365.8,378.25,363.2,372.8,372.8159028768,608217,9221,226752970,129386,21.27,15.05,7
28/03/2016,376,376.7,361.65,363.25,366.8297454132,788572,7801,289271666,389784,49.43,15.05,-12.75
23/03/2016,378.7,379.35,374,376.95,376.6966869011,549063,10172,206830213,162935,29.68,5.35,-1.75
22/03/2016,375,381.25,370.55,376.9,376.0361023868,611954,9595,230116797,97204,15.88,10.7,1.9
