Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,175.00,347.50,142.50,283.75,0,0,0.00,,,205.00,108.75,@
1992,287.50,595.00,215.00,262.50,0,0,0.00,,,380.00,-25.00,@
1993,262.50,377.50,145.00,350.00,0,0,0.00,,,232.50,87.50,@
1994,360.00,615.00,360.00,525.00,0,0,0.00,,,255.00,165.00,@
1995,520.00,682.00,338.00,380.00,6936800,22361,3539679200.00,,,344.00,-140.00,@
1996,377.00,565.00,284.25,337.00,33734080,121337,13429720604.00,,,280.75,-40.00,@
1997,340.00,471.75,253.00,296.25,178428186,585439,66776384663.00,,,218.75,-43.75,@
1998,125.00,174.00,119.10,174.00,115500,39,16096480.00,,,54.90,49.00,
1998,354.00,370.00,91.50,163.00,390446131,974927,67617977401.00,,,278.50,-191.00,@
1999,164.00,217.50,164.00,217.50,171600,22,33518020.00,,,53.50,53.50,
1999,163.20,325.50,126.50,201.00,509384445,1353851,114935112524.00,,,199.00,37.80,@
2000,144.00,144.00,80.55,92.50,1052888,33,115446240.00,,,63.45,-51.50,
2000,208.90,266.00,68.00,87.90,224673364,898081,28089413951.00,,,198.00,-121.00,@
2001,89.40,113.90,58.00,62.55,219412142,785380,20222660279.00,,,55.90,-26.85,@
2001,102.50,113.00,59.95,99.80,48637113,281994,4210081210.00,,,53.05,-2.70,
2002,101.05,173.40,96.50,161.35,188381155,1029583,26530714102.00,48598596,25.80,76.90,60.30,
2003,161.45,459.50,147.75,452.30,321346570,1863870,99273936236.00,60620360,18.86,311.75,290.85,
2004,455.00,570.00,330.40,505.15,521530553,4189369,233277555530.00,68249390,13.09,239.60,50.15,
2005,509.75,666.80,402.25,653.00,171419785,1490247,84366708316.00,41737277,24.35,264.55,143.25,
2006,650.00,997.00,610.25,900.25,139018169,1872648,114336249995.00,37407407,26.91,386.75,250.25,
2007,900.90,974.80,616.15,742.10,79856475,1123757,59415451111.00,39788824,49.83,358.65,-158.80,
2008,742.50,816.00,122.00,159.05,81830388,1423558,29678879873.00,32260199,39.42,694.00,-583.45,
2009,158.00,799.80,126.00,792.60,302543985,4301205,117048145911.00,54363496,17.97,673.80,634.60,
2010,791.00,1381.40,645.10,1306.30,234621089,4029467,205375030425.00,69044348,29.43,736.30,515.30,
2011,1321.00,1334.30,137.65,178.40,262994707,4075552,111459529079.00,55675157,21.17,1196.65,-1142.60,
2012,182.00,320.60,178.65,312.40,398301867,4393244,101848118773.00,111635119,28.03,141.95,130.40,
2013,314.65,405.00,252.10,376.40,235101431,3199890,74810162429.00,80370131,34.19,152.90,61.75,
2014,378.10,550.80,331.05,496.10,113199502,2569527,50571503705.00,39173219,34.61,219.75,118.00,
2015,492.60,612.05,279.15,391.25,211579215,2885538,84186768721.00,94112105,44.48,332.90,-101.35,
2016,393.80,470.25,266.00,457.20,90714784,1213430,33331444175.00,28947939,31.91,204.25,63.40,
@ Shares traded in Physical form
