Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,342.05,344.5,333.9,334.95,338.7359688173,778124,12390,263578587,105011,13.5,10.6,-7.1
09/06/2016,342,346.4,340.4,342.05,343.7062548069,614999,10682,211379003,73203,11.9,6,0.05
08/06/2016,342.25,346.2,338.4,341.5,342.0056531467,703502,10845,240601661,128104,18.21,7.8,-0.75
07/06/2016,337.8,344.75,337,342.85,341.1317519306,579612,10406,197724057,112110,19.34,7.75,5.05
06/06/2016,336,340.6,332.25,337.7,337.0741409664,680474,10339,229370189,62855,9.24,8.35,1.7
03/06/2016,342.25,348.25,336.55,338.65,341.7517265275,969721,13554,331403826,172142,17.75,11.7,-3.6
02/06/2016,332,342,331,340.65,336.7459423295,914749,13863,308038014,169241,18.5,11,8.65
01/06/2016,335.5,339.4,329.9,332.15,335.2108258134,946146,13165,317158382,112673,11.91,9.5,-3.35
31/05/2016,324.7,337.5,320.45,334.45,331.1961448294,1355167,21095,448826086,184491,13.61,17.05,9.75
30/05/2016,331.05,334.35,322.35,323.1,326.4331172891,934068,13325,304910729,195154,20.89,12,-7.95
27/05/2016,325.6,331.3,324.8,329,327.8613258239,746087,10302,244613073,114909,15.4,6.5,3.4
26/05/2016,322.1,329.25,320.5,325,324.0874094797,1341136,17665,434645292,203193,15.15,8.75,2.9
25/05/2016,320,326.2,318.05,324.35,322.3765177593,766920,11145,247236999,82619,10.77,8.15,4.35
24/05/2016,313.6,318.5,311.2,317.6,315.0947743474,734492,11457,231434591,85867,11.69,7.3,4
23/05/2016,324,325.6,312.6,313.6,317.5384776027,885866,13826,281296541,167487,18.91,13,-10.4
20/05/2016,326.9,327.3,321.25,322.9,323.926815734,537028,7862,173957770,64026,11.92,6.05,-4
19/05/2016,327.9,337.25,324.5,326.1,332.0054976058,889660,12090,295372011,91384,10.27,12.75,-1.8
18/05/2016,326.5,330,323.4,328.9,326.8212213694,661880,8273,216316430,78648,11.88,6.6,2.4
17/05/2016,328,331.25,324.85,326.95,327.8139529613,661881,8675,216973827,83699,12.65,6.4,-1.05
16/05/2016,322.3,327.3,319.8,326.35,324.0199059121,541196,7462,175358277,85220,15.75,7.5,4.05
13/05/2016,327.05,329.2,321.35,323,324.4720376713,755588,9877,245167178,128023,16.94,7.85,-4.05
12/05/2016,330.05,332,327.1,330.8,329.6532898743,548562,7461,180835268,96670,17.62,4.9,0.75
11/05/2016,320.9,332.1,320,329,328.5798153695,708767,10583,232886530,96597,13.63,12.1,8.1
10/05/2016,331,337,325.55,327.95,330.395209679,1219960,16399,403068940,169256,13.87,11.45,-3.05
09/05/2016,330.9,334.9,327.55,329.05,330.6766778634,531405,7820,175723240,76529,14.4,7.35,-1.85
06/05/2016,330.6,331.5,325.1,329.45,328.7115894798,768956,10587,252764749,52196,6.79,6.4,-1.15
05/05/2016,328.2,334.6,324.2,332,329.5611063209,1163243,15666,383359650,146805,12.62,10.4,3.8
