Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,145.00,256.00,130.00,249.00,0,0,0.00,,,126.00,104.00,@
1992,256.00,692.50,202.50,225.00,0,0,0.00,,,490.00,-31.00,@
1993,225.00,240.00,123.75,209.50,0,0,0.00,,,116.25,-15.50,@
1994,221.00,338.75,185.00,253.75,0,0,0.00,,,153.75,32.75,@
1995,252.50,263.00,178.75,196.50,95582950,121694,22232021372.00,,,84.25,-56.00,@
1996,227.50,267.75,145.75,163.75,543160125,877093,111875425306.00,,,122.00,-63.75,@
1997,168.00,230.50,116.50,134.25,580804223,1112898,110729733450.00,,,114.00,-33.75,@
1998,126.25,165.00,90.25,104.50,532750,197,72817195.00,,,74.75,-21.75,
1998,134.50,168.50,68.50,117.40,348550821,799041,42499373338.00,,,100.00,-17.10,@
1999,126.00,126.00,101.50,101.50,11800,11,1381650.00,,,24.50,-24.50,
1999,117.80,175.50,74.50,141.60,575352858,1267825,78502105439.00,,,101.00,23.80,@
2000,150.15,150.15,104.00,124.25,700220,33,78451062.00,,,46.15,-25.90,
2000,147.90,183.35,85.00,130.10,370870516,1201942,46509299711.00,,,98.35,-17.80,@
2001,131.50,168.90,108.00,115.80,249241237,916036,35170742967.00,,,60.90,-15.70,@
2001,129.75,158.50,66.90,87.20,56859737,366151,5105327264.00,,,91.60,-42.55,
2002,88.35,152.00,85.50,151.50,168169576,943840,20864649351.00,47764671,28.40,66.50,63.15,
2003,152.10,445.35,125.65,444.05,714040633,3567096,196448551714.00,107711090,15.08,319.70,291.95,
2004,450.00,466.45,231.20,385.45,967342647,6532262,340061727039.00,102383808,10.58,235.25,-64.55,
2005,391.00,446.50,329.05,380.30,476562074,3540459,179821147436.00,85013397,17.84,117.45,-10.70,
2006,382.00,679.00,341.35,482.30,423280986,5484689,211379732495.00,71610219,16.92,337.65,100.30,
2007,484.00,1048.80,399.00,934.80,278576155,4211759,169538777510.00,80081656,28.75,649.80,450.80,
2008,938.00,952.00,146.35,216.85,449940371,7762654,206467173870.00,90896333,20.20,805.65,-721.15,
2009,218.40,627.60,148.65,617.60,881472077,11421261,321356884660.00,150796647,17.11,478.95,399.20,
2010,622.70,737.00,448.65,678.95,436380616,7580853,250615113618.00,84320500,19.32,288.35,56.25,
2011,684.20,713.80,334.05,335.25,271405452,5095603,144009937280.00,62437641,23.01,379.75,-348.95,
2012,339.00,500.90,332.35,428.30,230302514,4385630,97462882209.00,44401849,19.28,168.55,89.30,
2013,431.10,448.10,195.40,423.45,238486489,4535273,75477639446.00,50035678,20.98,252.70,-7.65,
2014,425.00,578.60,332.20,399.35,200583333,5420338,90605144266.00,43835770,21.85,246.40,-25.65,
2015,396.00,421.20,200.00,259.55,240840123,3750674,68667240501.00,49902259,20.72,221.20,-136.45,
2016,261.00,364.15,211.30,334.95,124220272,1518566,35895094292.00,16434637,13.23,152.85,73.95,
@ Shares traded in Physical form
