Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
10/06/2016,543,546.7,543,544.95,544.9872420731,64117,1640,34942947,31237,48.72,3.7,1.95
09/06/2016,545.1,546.05,542,544.9,544.151851624,32512,871,17691465,11512,35.41,4.05,-0.2
08/06/2016,542.9,545,540,543.75,542.7767904573,41414,1948,22478558,14000,33.8,5,0.85
07/06/2016,542,545,537.25,539.65,538.6657451413,193158,1600,104047598,152210,78.8,7.75,-2.35
06/06/2016,541,541,534.45,535.95,536.6403890752,179811,2568,96493845,132687,73.79,6.55,-5.05
03/06/2016,541.25,543.5,539.5,541.05,541.7186992791,52986,1952,28703507,18913,35.69,4,-0.2
02/06/2016,559.9,559.9,534.7,540.25,542.0082458288,217322,5919,117790316,81829,37.65,25.2,-19.65
01/06/2016,547.4,554.3,547.3,553.25,551.7355798325,31397,1295,17322842,9010,28.7,7,5.85
31/05/2016,550,552,545.35,546.2,546.9835134101,33967,1116,18579389,9372,27.59,6.65,-3.8
30/05/2016,545,552.5,544.7,550.3,549.2024509248,44065,1253,24200606,12856,29.18,7.8,5.3
27/05/2016,546,550.8,544,545.9,548.2418347892,80249,1952,43995859,31716,39.52,6.8,-0.1
26/05/2016,546.5,548.4,543.25,545.1,545.2978274743,72082,1626,39306158,35624,49.42,5.15,-1.4
25/05/2016,541.8,547.45,539.25,546.25,543.8114760301,52858,1272,28744787,20401,38.6,8.2,4.45
24/05/2016,540.8,540.8,535.6,538.1,537.5333242701,29423,1068,15815843,7943,27,5.2,-2.7
23/05/2016,543.3,543.75,539,540.1,541.086728972,34775,1197,18816291,6793,19.53,4.75,-3.2
20/05/2016,543.25,547.75,542.1,543.25,544.641930679,59751,1856,32542900,18448,30.87,5.65,0
19/05/2016,540.25,543.85,537.6,542.7,541.6449254941,56774,1368,30751349,12834,22.61,6.25,2.45
18/05/2016,540.65,540.65,535,538.95,536.3087342827,100844,1630,54083518,59520,59.02,5.65,-1.7
17/05/2016,543,543,539,540.6,541.1267988621,47808,1674,25870190,13763,28.79,4,-2.4
16/05/2016,540,543.4,536.7,540.95,540.2375989241,38666,1167,20888827,7695,19.9,6.7,0.95
13/05/2016,545,545,536.4,539.6,538.8011495523,54282,1604,29247204,17170,31.63,8.6,-5.4
12/05/2016,540,543,536.05,542.1,540.8392404807,49347,1590,26688794,17079,34.61,6.95,2.1
11/05/2016,540,540,534,537.15,536.6461954941,44697,1472,23986475,12246,27.4,6,-2.85
10/05/2016,541.2,541.9,534.7,538.6,538.5546250621,78453,2116,42251226,31750,40.47,7.2,-2.6
09/05/2016,533.45,540.1,532,538.9,536.4817101655,98470,2499,52827354,30200,30.67,8.1,5.45
06/05/2016,545,546.5,531.75,532.6,533.6729071026,404726,4309,215991301,313857,77.55,14.75,-12.4
