Year,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open,
1991,240.00,360.00,210.00,335.00,0,0,0.00,,,150.00,95.00,@
1992,350.00,650.00,250.00,300.00,0,0,0.00,,,400.00,-50.00,@
1993,340.00,340.00,185.00,310.00,0,0,0.00,,,155.00,-30.00,@
1994,310.00,1000.00,300.00,750.00,0,0,0.00,,,700.00,440.00,@
1995,800.00,800.00,340.00,430.00,23800,330,10454050.00,,,460.00,-370.00,@
1996,420.00,575.00,299.00,340.00,27150,437,12585650.00,,,276.00,-80.00,@
1997,575.00,1620.00,311.00,474.00,533042,6764,459676988.00,,,1309.00,-101.00,@
1998,620.00,620.00,620.00,620.00,200,1,124000.00,,,0.00,0.00,
1998,473.25,2050.00,458.00,1838.75,2040575,19698,3231566691.00,,,1592.00,1365.50,@
1999,3061.25,3324.75,3061.25,3300.00,45400,4,150157625.00,,,263.50,238.75,
1999,1847.75,7050.00,930.00,2600.80,5258334,122717,10922741816.00,,,6120.00,753.05,@
2000,2700.00,9800.00,1474.00,2406.40,112333193,4449497,315918440912.00,,,8326.00,-293.60,@
2000,2795.50,6972.00,1627.00,2337.00,30874,149,104253137.00,,,5345.00,-458.50,
2001,2399.00,3074.00,763.30,1399.80,89093084,3131878,185629744882.00,,,2310.70,-999.20,@
2001,2385.00,3114.30,764.90,1602.50,99130137,3745455,126633033147.00,,,2349.40,-782.50,
2002,1591.25,1889.90,1063.00,1630.65,77294313,3581127,119079134221.00,6451264,8.35,826.90,39.40,
2003,1644.40,1800.00,791.25,1737.60,65313818,2463095,78762809182.00,9426087,14.43,1008.75,93.20,
2004,1744.40,1861.00,481.20,748.00,64336600,1735124,59824067231.00,13553296,21.07,1379.80,-996.40,
2005,753.00,776.00,350.05,463.45,54933218,1004796,29468839614.00,19252442,35.05,425.95,-289.55,
2006,464.00,614.00,383.00,604.55,79692362,1423061,40795337986.00,31807288,39.91,231.00,140.55,
2007,607.90,690.00,425.00,525.60,78383371,1175111,40403253376.00,45423572,57.95,265.00,-82.30,
2008,522.00,537.90,181.70,233.55,63132660,1409144,23950315999.00,19367980,30.68,356.20,-288.45,
2009,236.00,699.00,195.00,679.40,68237434,1219541,26960216578.00,19006778,27.85,504.00,443.40,
2010,697.70,753.00,327.85,490.25,44113712,950731,23844209898.00,17021093,38.58,425.15,-207.45,
2011,492.00,494.95,310.20,398.80,36208657,770961,14660746414.00,14475418,39.98,184.75,-93.20,
2012,399.00,452.50,325.60,394.35,29699896,618122,11469555090.00,12543934,42.24,126.90,-4.65,
2013,397.00,561.25,315.30,559.05,56689429,1177663,24618577408.00,23776426,41.94,245.95,162.05,
2014,561.80,621.50,475.35,553.80,37443879,1467082,20627511290.00,13330475,35.60,146.15,-8.00,
2015,553.00,676.90,512.55,555.95,27660910,913952,16051510085.00,10438924,37.74,164.35,2.95,
2016,558.00,606.75,508.90,544.95,13155254,256467,7252618214.00,6019450,45.76,97.85,-13.05,
@ Shares traded in Physical form
